genus,species,genome,old_taxid,new_taxid,species_has_match,new_in_match,reclassified
Streptococcus,pneumoniae,GCF_001193755.1,1313,257758,True,True,False
Streptococcus,sanguinis,GCF_001593525.1,888807,1305,True,True,False
Streptomyces,albus,GCF_001577385.1,1888,1886,True,True,False
Streptomyces,albus,GCF_000359525.1,457425,1886,True,True,False
Streptomyces,albus,GCF_000156475.1,457425,1886,True,True,False
Thalassobius,mediterraneus,GCF_001458275.1,340021,2072972,True,True,False
Thalassobius,mediterraneus,GCF_001458255.1,340021,2072972,True,True,False
Vibrio,alginolyticus,GCF_001010935.1,663,50719,False,False,False
Vibrio,alginolyticus,GCF_000962815.1,663,50719,False,False,False
Vibrio,mimicus,GCF_000736955.1,666,674,True,False,True
Vibrio,splendidus,GCF_001558025.1,29497,1516159,True,True,False
Vibrio,splendidus,GCF_001557855.1,29497,1516159,True,True,False
Vibrio,tasmaniensis,GCF_000091465.1,575788,693153,False,False,False
Xanthomonas,campestris,GCF_001264285.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264295.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264345.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264265.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264465.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001266525.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001266535.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264425.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264435.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001266515.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264275.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264385.1,339,56448,False,False,False
Xanthomonas,campestris,GCF_001264355.1,339,56448,False,False,False
Yersinia,similis,GCF_001140625.1,633,367190,True,False,True
