id,ncbi_id,name,rank,parent_id,in_v12,manual_threshold,report,is_leaf
120,377315,Mariprofundus,genus,,true,NaN,true,false
121,1849828,Paeniclostridium,genus,,true,NaN,true,false
122,123375,Solobacterium,genus,,true,NaN,true,false
123,162289,Peptoniphilus,genus,,true,NaN,true,false
124,497,Psychrobacter,genus,,true,NaN,true,false
125,162291,Planomicrobium,genus,,true,NaN,true,false
126,375288,Parabacteroides,genus,,true,NaN,true,false
127,2767353,Lancefieldella,genus,,true,NaN,true,false
128,507,Alcaligenes,genus,,true,NaN,true,false
129,2767358,Mycoplasmopsis,genus,,true,NaN,true,false
130,517,Bordetella,genus,,true,NaN,true,false
131,150022,Finegoldia,genus,,true,NaN,true,false
132,2038280,Robbsia,genus,,true,NaN,true,false
133,522,Acidiphilium,genus,,true,NaN,true,false
134,528,Ochrobactrum,genus,,true,NaN,true,false
135,1382931,Ardenticatena,genus,,true,NaN,true,false
136,168470,Laribacter,genus,,true,NaN,true,false
137,535,Chromobacterium,genus,,true,NaN,true,false
138,538,Eikenella,genus,,true,NaN,true,false
139,541,Zymomonas,genus,,true,NaN,true,false
140,2675230,Cytobacillus,genus,,true,NaN,true,false
141,2675231,Mesobacillus,genus,,true,NaN,true,false
142,544,Citrobacter,genus,,true,NaN,true,false
143,227873,Pannonibacter,genus,,true,NaN,true,false
144,2675234,Alkalihalobacillus,genus,,true,NaN,true,false
145,547,Enterobacter,genus,,true,NaN,true,false
146,2675232,Neobacillus,genus,,true,NaN,true,false
147,184869,Varibaculum,genus,,true,NaN,true,false
148,551,Erwinia,genus,,true,NaN,true,false
149,561,Escherichia,genus,,true,NaN,true,false
150,568,Hafnia,genus,,true,NaN,true,false
151,266808,Thalassobacter,genus,,true,NaN,true,false
152,570,Klebsiella,genus,,true,NaN,true,false
153,2755140,Pseudoleptotrichia,genus,,true,NaN,true,false
154,581,Morganella,genus,,true,NaN,true,false
155,583,Proteus,genus,,true,NaN,true,false
156,586,Providencia,genus,,true,NaN,true,false
157,590,Salmonella,genus,,true,NaN,true,false
158,543311,Parvimonas,genus,,true,NaN,true,false
159,84567,Pedobacter,genus,,true,NaN,true,false
160,613,Serratia,genus,,true,NaN,true,false
161,620,Shigella,genus,,true,NaN,true,false
162,84593,Verrucosispora,genus,,true,NaN,true,false
163,626,Xenorhabdus,genus,,true,NaN,true,false
164,12916,Acidovorax,genus,,true,NaN,true,false
165,629,Yersinia,genus,,true,NaN,true,false
166,635,Edwardsiella,genus,,true,NaN,true,false
167,1649279,Epibacterium,genus,,true,NaN,true,false
168,642,Aeromonas,genus,,true,NaN,true,false
169,2701,Gardnerella,genus,,true,NaN,true,false
170,1649295,Franconibacter,genus,,true,NaN,true,false
171,657,Photobacterium,genus,,true,NaN,true,false
172,662,Vibrio,genus,,true,NaN,true,false
173,1573534,Faecalitalea,genus,,true,NaN,true,false
174,55968,Leucobacter,genus,,true,NaN,true,false
175,414371,Aureimonas,genus,,true,NaN,true,false
176,428711,Jonquetella,genus,,true,NaN,true,false
177,2304691,Thermoclostridium,genus,,true,NaN,true,false
178,2304692,Hungateiclostridium,genus,,true,NaN,true,false
179,2742,Marinobacter,genus,,true,NaN,true,false
180,762551,Jejuia,genus,,true,NaN,true,false
181,2745,Halomonas,genus,,true,NaN,true,false
182,2747,Carnobacterium,genus,,true,NaN,true,false
183,702,Plesiomonas,genus,,true,NaN,true,false
184,68287,Mesorhizobium,genus,,true,NaN,true,false
185,58050,Moritella,genus,,true,NaN,true,false
186,2755,Brochothrix,genus,,true,NaN,true,false
187,713,Actinobacillus,genus,,true,NaN,true,false
188,724,Haemophilus,genus,,true,NaN,true,false
189,361177,Altererythrobacter,genus,,true,NaN,true,false
190,39643,Sorangium,genus,,true,NaN,true,false
191,150247,Anoxybacillus,genus,,true,NaN,true,false
192,60136,Sulfitobacter,genus,,true,NaN,true,false
193,745,Pasteurella,genus,,true,NaN,true,false
194,305899,Endozoicomonas,genus,,true,NaN,true,false
195,41707,Lawsonia,genus,,true,NaN,true,false
196,168694,Salinispora,genus,,true,NaN,true,false
197,768,Anaplasma,genus,,true,NaN,true,false
198,58113,Glycomyces,genus,,true,NaN,true,false
199,613121,Smaragdicoccus,genus,,true,NaN,true,false
200,773,Bartonella,genus,,true,NaN,true,false
201,776,Coxiella,genus,,true,NaN,true,false
202,780,Rickettsia,genus,,true,NaN,true,false
203,1381133,Candidatus Profftella,genus,,true,NaN,true,false
204,92944,Ketogulonicigenium,genus,,true,NaN,true,false
205,29465,Veillonella,genus,,true,NaN,true,false
206,97050,Ruegeria,genus,,true,NaN,true,false
207,365348,Pelosinus,genus,,true,NaN,true,false
208,133925,Olsenella,genus,,true,NaN,true,false
209,810,Chlamydia,genus,,true,NaN,true,false
210,29487,Photorhabdus,genus,,true,NaN,true,false
211,816,Bacteroides,genus,,true,NaN,true,false
212,1649459,Hungatella,genus,,true,NaN,true,false
213,670516,Mycobacteroides,genus,,true,NaN,true,false
214,475960,Bellilinea,genus,,true,NaN,true,false
215,475966,Leptolinea,genus,,true,NaN,true,false
216,830,Butyrivibrio,genus,,true,NaN,true,false
217,832,Fibrobacter,genus,,true,NaN,true,false
218,836,Porphyromonas,genus,,true,NaN,true,false
219,838,Prevotella,genus,,true,NaN,true,false
220,582472,Wohlfahrtiimonas,genus,,true,NaN,true,false
221,841,Roseburia,genus,,true,NaN,true,false
222,1635148,Sanguibacteroides,genus,,true,NaN,true,false
223,848,Fusobacterium,genus,,true,NaN,true,false
224,29521,Brachyspira,genus,,true,NaN,true,false
225,76634,Mycetocola,genus,,true,NaN,true,false
226,869,Dichelobacter,genus,,true,NaN,true,false
227,872,Desulfovibrio,genus,,true,NaN,true,false
228,29548,Rhodothermus,genus,,true,NaN,true,false
229,478070,Labrenzia,genus,,true,NaN,true,false
230,29574,Taylorella,genus,,true,NaN,true,false
231,904,Acidaminococcus,genus,,true,NaN,true,false
232,1637257,Mageeibacillus,genus,,true,NaN,true,false
233,906,Megasphaera,genus,,true,NaN,true,false
234,29580,Janthinobacterium,genus,,true,NaN,true,false
235,363408,Nonlabens,genus,,true,NaN,true,false
236,189330,Dorea,genus,,true,NaN,true,false
237,160674,Raoultella,genus,,true,NaN,true,false
238,939,Hydrogenobacter,genus,,true,NaN,true,false
239,943,Ehrlichia,genus,,true,NaN,true,false
240,953,Wolbachia,genus,,true,NaN,true,false
241,336827,Rhodonellum,genus,,true,NaN,true,false
242,963,Herbaspirillum,genus,,true,NaN,true,false
243,2094023,Glaesserella,genus,,true,NaN,true,false
244,970,Selenomonas,genus,,true,NaN,true,false
245,314318,Prolixibacter,genus,,true,NaN,true,false
246,41949,Candidatus Microthrix,genus,,true,NaN,true,false
247,2767842,Lactiplantibacillus,genus,,true,NaN,true,false
248,168934,Thalassospira,genus,,true,NaN,true,false
249,447467,Simiduia,genus,,true,NaN,true,false
250,35823,Arthrospira,genus,,true,NaN,true,false
251,35832,Bilophila,genus,,true,NaN,true,false
252,1016,Capnocytophaga,genus,,true,NaN,true,false
253,2767875,Agrilactobacillus,genus,,true,NaN,true,false
254,2767877,Apilactobacillus,genus,,true,NaN,true,false
255,2767879,Companilactobacillus,genus,,true,NaN,true,false
256,2767881,Fructilactobacillus,genus,,true,NaN,true,false
257,2767882,Furfurilactobacillus,genus,,true,NaN,true,false
258,2767883,Holzapfelia,genus,,true,NaN,true,false
259,39948,Dialister,genus,,true,NaN,true,false
260,2767885,Latilactobacillus,genus,,true,NaN,true,false
261,2767886,Levilactobacillus,genus,,true,NaN,true,false
262,2767887,Ligilactobacillus,genus,,true,NaN,true,false
263,2767888,Liquorilactobacillus,genus,,true,NaN,true,false
264,2767889,Loigolactobacillus,genus,,true,NaN,true,false
265,2767890,Paucilactobacillus,genus,,true,NaN,true,false
266,2767891,Schleiferilactobacillus,genus,,true,NaN,true,false
267,2767892,Secundilactobacillus,genus,,true,NaN,true,false
268,2767893,Lentilactobacillus,genus,,true,NaN,true,false
269,2692118,Winkia,genus,,true,NaN,true,false
270,1041,Erythrobacter,genus,,true,NaN,true,false
271,37914,Dietzia,genus,,true,NaN,true,false
272,2282523,Methylorubrum,genus,,true,NaN,true,false
273,76831,Myroides,genus,,true,NaN,true,false
274,54304,Planktothrix,genus,,true,NaN,true,false
275,93217,Pandoraea,genus,,true,NaN,true,false
276,76833,Actinobaculum,genus,,true,NaN,true,false
277,82980,Leminorella,genus,,true,NaN,true,false
278,1060,Rhodobacter,genus,,true,NaN,true,false
279,82986,Tatumella,genus,,true,NaN,true,false
280,228398,Streptacidiphilus,genus,,true,NaN,true,false
281,2759736,Lacticaseibacillus,genus,,true,NaN,true,false
282,1081,Rhodospirillum,genus,,true,NaN,true,false
283,166974,Lechevalieria,genus,,true,NaN,true,false
284,490567,Arenimonas,genus,,true,NaN,true,false
285,246861,Grimontia,genus,,true,NaN,true,false
286,33882,Microbacterium,genus,,true,NaN,true,false
287,76890,Asticcacaulis,genus,,true,NaN,true,false
288,33886,Rathayibacter,genus,,true,NaN,true,false
289,572511,Blautia,genus,,true,NaN,true,false
290,1123,Chlorogloeopsis,genus,,true,NaN,true,false
291,187492,Thalassolituus,genus,,true,NaN,true,false
292,1125,Microcystis,genus,,true,NaN,true,false
293,1129,Synechococcus,genus,,true,NaN,true,false
294,158848,Moellerella,genus,,true,NaN,true,false
295,158851,Trabulsiella,genus,,true,NaN,true,false
296,1866885,Mycolicibacterium,genus,,true,NaN,true,false
297,33926,Candidatus Phytoplasma,genus,,true,NaN,true,false
298,416916,Aggregatibacter,genus,,true,NaN,true,false
299,1175,Aphanizomenon,genus,,true,NaN,true,false
300,158876,Yokenella,genus,,true,NaN,true,false
301,46239,Mesoplasma,genus,,true,NaN,true,false
302,119977,Acidithiobacillus,genus,,true,NaN,true,false
303,140458,Thermacetogenium,genus,,true,NaN,true,false
304,46254,Oenococcus,genus,,true,NaN,true,false
305,46255,Weissella,genus,,true,NaN,true,false
306,33969,Melissococcus,genus,,true,NaN,true,false
307,238783,Pseudorhodobacter,genus,,true,NaN,true,false
308,1218,Prochlorococcus,genus,,true,NaN,true,false
309,33986,Exiguobacterium,genus,,true,NaN,true,false
310,40136,Oligotropha,genus,,true,NaN,true,false
311,1227,Nitrosococcus,genus,,true,NaN,true,false
312,1237,Piscirickettsia,genus,,true,NaN,true,false
313,34008,Rhodovulum,genus,,true,NaN,true,false
314,44249,Paenibacillus,genus,,true,NaN,true,false
315,1243,Leuconostoc,genus,,true,NaN,true,false
316,748770,Dolichospermum,genus,,true,NaN,true,false
317,34019,Liberibacter,genus,,true,NaN,true,false
318,44260,Moorella,genus,,true,NaN,true,false
319,1253,Pediococcus,genus,,true,NaN,true,false
320,466152,Singulisphaera,genus,,true,NaN,true,false
321,1257,Peptostreptococcus,genus,,true,NaN,true,false
322,1263,Ruminococcus,genus,,true,NaN,true,false
323,1269,Micrococcus,genus,,true,NaN,true,false
324,34037,Rahnella,genus,,true,NaN,true,false
325,1506553,Lachnoclostridium,genus,,true,NaN,true,false
326,400634,Lysinibacillus,genus,,true,NaN,true,false
327,1279,Staphylococcus,genus,,true,NaN,true,false
328,204037,Dickeya,genus,,true,NaN,true,false
329,32008,Burkholderia,genus,,true,NaN,true,false
330,66831,Facklamia,genus,,true,NaN,true,false
331,265488,Rhodopirellula,genus,,true,NaN,true,false
332,1298,Deinococcus,genus,,true,NaN,true,false
333,1301,Streptococcus,genus,,true,NaN,true,false
334,288021,Kordiimonas,genus,,true,NaN,true,false
335,34072,Variovorax,genus,,true,NaN,true,false
336,34084,Riemerella,genus,,true,NaN,true,false
337,156973,Dysgonomonas,genus,,true,NaN,true,false
338,1508657,Ruminiclostridium,genus,,true,NaN,true,false
339,89404,Glaciecola,genus,,true,NaN,true,false
340,32067,Leptotrichia,genus,,true,NaN,true,false
341,1350,Enterococcus,genus,,true,NaN,true,false
342,1357,Lactococcus,genus,,true,NaN,true,false
343,1082702,Lonsdalea,genus,,true,NaN,true,false
344,140625,Lachnobacterium,genus,,true,NaN,true,false
345,263510,Crocosphaera,genus,,true,NaN,true,false
346,1375,Aerococcus,genus,,true,NaN,true,false
347,378210,Methyloversatilis,genus,,true,NaN,true,false
348,1378,Gemella,genus,,true,NaN,true,false
349,1380,Atopobium,genus,,true,NaN,true,false
350,1386,Bacillus,genus,,true,NaN,true,false
351,195950,Tannerella,genus,,true,NaN,true,false
352,476528,Bibersteinia,genus,,true,NaN,true,false
