set,id,fasta_file,fasta_md5,fastq_md5
200726,18AC0017658,18AC0017658_S3_L001_R1_001 Assembly Contigs.fasta,ee20eee1913cb00bfd782ee2cff1c22b,8acb74f7a096b9c2b9d3dee41717a507
200726,18AC0018934,18AC0018934_S10_L001_R1_001 Assembly Contigs.fasta,a8640eb87021383204e9c53006d2ad84,a6962e770f459857ef339fc494dcfaed
200726,18AC0018935,18AC0018935_S11_L001_R1_001 Assembly Contigs.fasta,4fc7723cc9056241e17d59d11179675b,044b44b8eb1c81ddc72600d939d1cf8a
200726,18AC0018936-1,18AC0018936-1_S12_L001_R1_001 Assembly Contigs.fasta,6834087d43509cfeed9a09458a281704,3b981a92e64794f42f4ef872e32587ff
200726,18AC0018936-2,18AC0018936-2_S13_L001_R1_001 Assembly Contigs.fasta,ae565d378e77e7401e1c79586dbae8a1,53a3b88c96c1817337bcd6d583fe1d64
200726,18AC0018936-ANO2,18AC0018936-ANO2_S16_L001_R1_001 Assembly Contigs.fasta,7854dc73f83c32a89f1e0f32a9e8e717,7e1ba5e70140a32a10e88ae8f5cb6816
200726,18AC0018937,18AC0018937_S7_L001_R1_001 Assembly Contigs.fasta,53f5693d3d3a376694476b145c7462f7,2f368ada9d2053d0d3bb8bf576fae089
200726,18AC0018937-BA,18AC0018937-BA_S10_L001_R1_001 Assembly Contigs.fasta,f46835ad0598b5dc5090b1c6c7e236ce,9c339fb5445aeaf391edc74f5388bf63
200726,18AC0018937-BAP,18AC0018937-BAP_S11_L001_R1_001 Assembly Contigs.fasta,6695f503dbca05210f449e834d194886,79328a7649c9b37a74aa191bd050aac2
200726,18AC0018938-1,18AC0018938-1_S14_L001_R1_001 Assembly Contigs.fasta,c8190dd0ce5b90c92a1da5f7d5e58b37,7a52977eda9c52c26655df26444263c7
200726,19AC0002347,19AC0002347_S3_L001_R1_001 Assembly Contigs.fasta,46ea0e4b043ffdf7a0f54340c17f454e,863bd7e8cce9be998ca357e3dc7eff7e
200726,19AC0002348,19AC0002348_S4_L001_R1_001 Assembly Contigs.fasta,59bcd35e8f2cd252b3d6d018bb7ae0c3,d4530fe81f107f7ea0695bc16d68f2ca
200726,19AC0002349,19AC0002349_S5_L001_R1_001 Assembly Contigs.fasta,7d7d167092e0afff2beef73e77aee39d,c218859b3f1b1cfe7a57b43b3cc0f660
200726,19AC0002349B1,19AC0002349B1_S10_L001_R1_001 Assembly Contigs.fasta,cbd21f269fe9d4b882e2833a64bbdb72,62a28fdb9c9cb666fd41baf9cafcede0
200726,19AC0002349B2,19AC0002349B2_S11_L001_R1_001 Assembly Contigs.fasta,7dd02cb53c7abe3f7af322e9380b0a5d,9943622ab4727d00357c14bd8ce4a024
200726,19AC0002350,19AC0002350_S7_L001_R1_001 Assembly Contigs.fasta,58dda1ad29fa5c5ceb607dbe8621da6d,2928cafecfebfb6beff9663406088550
200726,19AC0002351,19AC0002351_S8_L001_R1_001 Assembly Contigs.fasta,5e715784c8b3a4b9799d8b023486d2d2,9d37b6b6a82325aee833153e4e857c70
200726,19AC0006459,19AC0006459_S1_L001_R1_001 Assembly Contigs.fasta,8b32147f7a383f621431285acb1c3b5b,b9a44649f62baa21516ec2b7bea57c0f
200726,19AC0006460,19AC0006460_S2_L001_R1_001 Assembly Contigs.fasta,36912db54366bcaadf455c61db87c883,c7765126ab257ccc6d74839a123944bf
200726,19AC0006461,19AC0006461_S3_L001_R1_001 Assembly Contigs.fasta,4590fa172492a3e26a06657d69ecb199,84dd25471944ba6b2bd96fa49dd9dd8c
200726,19AC0011209-1,19AC0011209-1_S9_L001_R1_001 Assembly Contigs.fasta,bd7866cd6ac57e1a4ca6f52ce8f3aa16,54629783e8aae6094a11d53c85e0d01c
200726,19AC0011209PEA,19AC0011209PEA_S8_L001_R1_001 Assembly Contigs.fasta,b73e831cdf9ee5de90b20e0736eecae8,7575a181baa51a66278c39ee34c88bd3
200726,19AC0011210,19AC0011210_S5_L001_R1_001 Assembly Contigs.fasta,0efcfece2f00f40f519e33ea317ac21c,928e6630637abeaaf9ca6822c1c85480
200726,19AC0011211-1,19AC0011211-1_S6_L001_R1_001 Assembly Contigs.fasta,0449542e286b4e905b29e4e07fbbed25,0da7c8c6b541e8f5007990501ed3ad7b
200726,19AC0011211-2,19AC0011211-2_S7_L001_R1_001 Assembly Contigs.fasta,13a6794d2143eb5b39adac555779eae6,b7f1f222390278054c4a403885ad4a1f
200726,19AC0011212,19AC0011212_S8_L001_R1_001 Assembly Contigs.fasta,63800d9ee81122ad8579110857e08260,586f354ce7f73671f927a33f67a496b2
200726,19AC0011212ANO,19AC0011212ANO_S9_L001_R1_001 Assembly Contigs.fasta,12419d00eee5e47ef8a335080bcd312e,fc0f07bc441d545996392d4dd2770714
200726,19AC0011213,19AC0011213_S10_L001_R1_001 Assembly Contigs.fasta,a661f20ec7626832788ee91d0a1dc577,2ba41ca51a28c33213b34fd20d273eb0
200726,19AC0015929,19AC0015929_S6_L001_R1_001 Assembly Contigs.fasta,12d75a1778d85d5c36e8504e9f10fdef,52ebfd18f62d138128f1c6f54a912d48
200726,19AC0015930,19AC0015930_S7_L001_R1_001 Assembly Contigs.fasta,133863b344afd72c586f17ed981295a3,be642b523b51b38e4b4528a17e940e9d
200726,19AC0015931,19AC0015931_S8_L001_R1_001 Assembly Contigs.fasta,36a62f684dd39fc64baa9edc3d9f4b31,95681d5b034239ce0de52ae83a4d843c
200726,19AC0016708,19AC0016708_S8_L001_R1_001 Assembly Contigs.fasta,0c2ece94faebe3662768368bf8f6807b,b7c647012911256d77a06f1483ef07ae
200726,19AC0016709,19AC0016709_S9_L001_R1_001 Assembly Contigs.fasta,4d7a05ace4f55c6752a720f64238d5fd,5600573c04620249d78e9b5365abd290
200726,19AC0016710,19AC0016710_S10_L001_R1_001 Assembly Contigs.fasta,66c84fcb7310e9b6d9ed540178094b78,625bd090b9b17da2a5ae00eb20e74ffc
200726,19AC0016711,19AC0016711_S11_L001_R1_001 Assembly Contigs.fasta,a0d6127400aa762ba0d939de994a35ab,fc10795c8f5702eca67a60d34408475a
200726,19AC0016712,19AC0016712_S12_L001_R1_001 Assembly Contigs.fasta,58cad30122b2d8f1d322bc7f869d632c,484127d892c8b35cbec33d7a0d3443f8
200726,20AC0000919-C1,20AC0000919-C1_S1_L001_R1_001 Assembly Contigs.fasta,27cc63407e7dc25e49c3910b0821b9d4,1413a371915d0566b6a2acd9ae419924
200726,20AC0000920-B1,20AC0000920-B1_S3_L001_R1_001 Assembly Contigs.fasta,ee32159eff0fe0c1c5644e77b61bfb42,71f1dccb62f5f2e7409a4d2d549a6cb4
200726,20AC0000920-B2,20AC0000920-B2_S4_L001_R1_001 Assembly Contigs.fasta,78746dafc396e49571b95c23aba28fb6,76864585c78c32340288f0f38631d006
200726,20AC0000921-B,20AC0000921-B_S5_L001_R1_001 Assembly Contigs.fasta,ba511053413de525aba05be8da7e4c1d,bb499f04accb2a0f11f02a6d2c8f0ed6
200726,20AC0000922-BANO2,20AC0000922-BANO2_S7_L001_R1_001 Assembly Contigs.fasta,505b1ad12410301c25ab2d46bcce8726,5482f9370649e1d0b931894451737e91
200726,20AC0000922-BO2,20AC0000922-BO2_S6_L001_R1_001 Assembly Contigs.fasta,26501631870756f52ce7f8fe89ee049e,56b1d5fc339adeb6ce3c526734b49daf
200726,20AC0000922-C2ANO2,20AC0000922-C2ANO2_S9_L001_R1_001 Assembly Contigs.fasta,75fb237d0d54d1ab9e2d0cb04e9cb12b,d0e7f78a793eb624b742aa5d51b9eab3
200726,20AC0000923-C,20AC0000923-C_S11_L001_R1_001 Assembly Contigs.fasta,2fc4bd5c2181e621d3cf680fff510390,ae754f1a996c5537c04e41580dc18dfc
200817,16AC1611140BCAP,16AC1611140BCAP_S11_L001_R1_001 Assembly Contigs.fasta,b5d4b42b6f3a33e9070249757f9f0568,a6af30478514a595e0c6d7d182d4e257
200817,17AC0001411B,17AC0001411B_S10_L001_R1_001 Assembly ContigsUnpaired.fasta,9152775a665efe207d150d707e01fbc6,ae5064bdcaa2c7f0a332ed67cd60b98f
200817,17AC0006312-1,17AC0006312-1_S21_L001_R1_001 Assembly ContigsUnpaired.fasta,d9edf3ba955bd3e8643aa5cc459dcd29,ce432c484f520a62e8782453bf46323a
200817,17AC0006313-1,17AC0006313-1_S23_L001_R1_001 Assembly ContigsUnpaired.fasta,eee8444720dfe58ba3fd7bdc90842ded,e94516f71c5d7f67a0e35d41b1eae13c
200817,17AC0012453,17AC0012453_S1_L001_R1_001 Assembly ContigsUnpaired.fasta,ebf25806272bc953bb7f3ece271457b2,cf588273d1968e072c5f5d2658d49fe2
200817,17AC0012454,17AC0012454_S2_L001_R1_001 Assembly ContigsUnpaired.fasta,e6d97c417d2b75eca5d9cd8ff514bb76,360579eb7807707e402e82252461e2ba
200817,17AC0012455-1A,17AC0012455-1A_S1_L001_R1_001 Assembly ContigsUnpaired.fasta,a4ce4641f7fe5a85b5f4e61b918b096d,686db12b6e966a96d2d5d236d512da0a
200817,17AC0012456-2,17AC0012456-2_S8_L001_R1_001 Assembly Contigs.fasta,dcb4cfbf842920533484d5f5c9fd7170,25459b6384c09916484b851343551c82
200817,17AC0012457-1,17AC0012457-1_S9_L001_R1_001 Assembly Contigs.fasta,e63c604aa076035027c510137a76cbf6,b1684f26e9e4f439d55ed8670b592c6d
200817,17AC0012457-2,17AC0012457-2_S10_L001_R1_001 Assembly Contigs.fasta,b2d61300f052d15435290e1b228dceb5,6e3e91a392cef52c02acfced6944b1ca
200817,18AC0002824,18AC0002824_S8_L001_R1_001 Assembly Contigs.fasta,c426e8a1f50470df6638685f45ac7485,ce13a49c49b17d3efe9bac6199b38e94
200817,18AC0002825-1,18AC0002825-1_S9_L001_R1_001 Assembly Contigs.fasta,217f723afc0b5429e9f1daf4a42eb903,4781b70d7c1eebd132723d304c03aefd
200817,18AC0002825-2,18AC0002825-2_S10_L001_R1_001 Assembly Contigs.fasta,61a252b7e4ba52c78a3b86bf00dfe887,778fd30379ab0c1c2530b7586dd05205
200817,18AC0002826,18AC0002826_S11_L001_R1_001 Assembly Contigs.fasta,fd3cd24d5d5eeb7fdd4dd9bcab46eee8,f793c1384c09b5d28cbdf474afbce8b2
200817,18AC0012151C2,18AC0012151C2_S8_L001_R1_001 Assembly Contigs.fasta,68d1a4e9fd24826acdbd4260179379fd,3e66e34f1d7898389b0d6092e8ee5bae
200817,18AC0012153B1,18AC0012153B1_S11_L001_R1_001 Assembly Contigs.fasta,b2a801c37929a497dcc933977d10e133,1c863707df9dd9d4f8c9bb4a09d76bc4
200817,18AC0012153M,18AC0012153M_S10_L001_R1_001 Assembly Contigs.fasta,3854657a82ba5c0ff2fe5d4617827239,c9d7e0dc3ad90da4f78d01ef3d381431
200817,18AC0012154-B,18AC0012154-B_S7_L001_R1_001 Assembly Contigs.fasta,02cf1a38d2f48a4aca3a678021d9f7c5,
