id,base_threshold,final_threshold,coverage
1446,0.028428735,0.028428735211491585,1.0
1001,0.55331415,0.5533141493797302,1.0
920,0.015284854,0.015284853987395763,1.0
1002,0.25228035,0.2522803544998169,1.0
1196,0.3029837,0.30298370122909546,1.0
1408,0.4404533,0.44045329093933105,1.0
1409,0.4736891,0.47368910908699036,1.0
1612,0.21031189,0.2103118896484375,1.0
1712,0.60180354,0.6018035411834717,1.0
577,0.8460531,0.8460531234741211,1.0
517,0.018720748,0.018720747902989388,1.0
1339,0.50998586,0.5099858641624451,1.0
694,0.5280899,0.5280898809432983,1.0
565,0.0075725704,0.007572570350021124,1.0
567,0.0031239723,0.0031239723321050406,1.0
568,0.008585503,0.008585503324866295,1.0
668,0.001633542,0.001633542007766664,1.0
736,0.0020723736,0.0020723736379295588,1.0
787,0.43080974,0.43080973625183105,1.0
1007,0.48475567,0.48475566506385803,1.0
1008,0.33290553,0.33290553092956543,1.0
1009,0.37006548,0.37006548047065735,1.0
1010,0.48875543,0.4887554347515106,1.0
1011,0.64822507,0.6482250690460205,1.0
1012,0.0027711065,0.0027711065486073494,1.0
1013,0.0030115442,0.0030115442350506783,1.0
1014,0.32671311,0.32671311497688293,1.0
1015,0.0031787583,0.0031787583138793707,1.0
1016,0.0020833334,0.0020833334419876337,1.0
1017,0.0028394856,0.0028394856490194798,1.0
1018,0.7500365,0.7500364780426025,1.0
1187,0.0011051468,0.0011051468318328261,1.0
1242,0.032155477,0.03215547651052475,1.0
1277,0.0024779309,0.00247793085873127,1.0
1311,0.6736433,0.6736432909965515,1.0
1312,0.346541,0.34654098749160767,1.0
1393,0.75746053,0.7574605345726013,1.0
1407,0.005999143,0.005999142769724131,1.0
1472,0.0028662956,0.0028662956319749355,1.0
1480,0.013774567,0.013774567283689976,1.0
1481,0.002886738,0.0028867379296571016,1.0
1486,0.0034266133,0.003426613286137581,1.0
1487,0.0065141404,0.0065141404047608376,1.0
1488,0.0062045734,0.006204573437571526,1.0
1489,0.005939835,0.005939835216850042,1.0
1490,0.006790876,0.006790875922888517,1.0
1591,0.002489971,0.0024899709969758987,1.0
1872,0.0042956863,0.004295686259865761,1.0
1873,0.0032298137,0.003229813650250435,1.0
1769,0.59299713,0.592997133731842,1.0
1771,0.67882955,0.678829550743103,1.0
782,0.3425033,0.34250330924987793,1.0
1020,0.5168344,0.5168343782424927,1.0
1309,0.5725244,0.5725244283676147,1.0
1500,0.01681466,0.016814660280942917,1.0
1022,0.47897196,0.4789719581604004,1.0
1023,0.49778956,0.49778956174850464,1.0
1025,0.30235416,0.3023541569709778,1.0
1026,0.0012404749,0.001240474870428443,1.0
1028,0.04128988,0.041289880871772766,1.0
1073,0.23768054,0.23768053948879242,1.0
1219,0.427486,0.42748600244522095,1.0
1220,0.269523,0.2695229947566986,1.0
1230,0.0010238908,0.0010238907998427749,1.0
1241,0.0066601373,0.006660137325525284,1.0
1437,0.0021148035,0.0021148035302758217,1.0
1505,0.24521683,0.24521683156490326,1.0
1508,0.21583723,0.21583722531795502,1.0
1534,0.33429506,0.3342950642108917,1.0
1615,0.005369783,0.005369782913476229,1.0
1622,0.75,0.75,0.36
1627,0.4511998,0.45119979977607727,1.0
1628,0.88382953,0.8838295340538025,1.0
1632,0.0011869436,0.0011869436129927635,1.0
1633,0.24291256,0.24291256070137024,1.0
1693,0.023454787,0.023454787209630013,1.0
1698,0.0031136482,0.0031136481557041407,1.0
1776,0.24974063,0.2497406303882599,1.0
1808,0.0031018439,0.003101843874901533,1.0
1844,0.45320755,0.4532075524330139,1.0
1860,0.6029302,0.6029301881790161,1.0
1050,0.50986344,0.5098634362220764,1.0
670,0.6471527,0.6471527218818665,1.0
