,genome1,genome2,similarity
0,103,101,0.33437228202819824
1,104,101,0.3985663056373596
2,104,102,0.45849746465682983
3,105,101,0.3958601951599121
4,105,102,0.5475662350654602
5,105,103,0.3738408088684082
6,106,101,0.3745957314968109
7,106,102,0.45489269495010376
8,106,103,0.48131197690963745
9,106,104,0.568206787109375
10,107,101,0.3912956416606903
11,107,102,0.46682223677635193
12,107,103,0.6491805911064148
13,107,104,0.8169299960136414
14,107,105,0.4429623484611511
15,108,101,0.6590005159378052
16,108,102,0.41189804673194885
17,108,103,0.3466503918170929
18,108,104,0.4076876640319824
19,108,105,0.4072329103946686
20,108,106,0.3927072286605835
21,109,101,0.4100581407546997
22,109,102,0.5694486498832703
23,109,103,0.39539361000061035
24,109,104,0.46609166264533997
25,109,105,0.5556368231773376
26,109,106,0.458025187253952
27,109,107,0.4644621014595032
28,110,101,0.9989874958992004
29,110,102,0.3994266390800476
30,110,103,0.3345180153846741
31,110,104,0.39837080240249634
32,110,105,0.3959367871284485
33,110,106,0.3744926452636719
34,110,107,0.3914669156074524
35,110,108,0.6592841148376465
36,111,101,0.6783385872840881
37,111,102,0.4167135953903198
38,111,103,0.34662294387817383
39,111,104,0.41208338737487793
40,111,105,0.4123445153236389
41,111,106,0.39759522676467896
42,111,107,0.4098256528377533
43,111,108,0.6751477122306824
44,111,109,0.44643110036849976
45,112,101,0.8679824471473694
46,112,102,0.40789923071861267
47,112,103,0.34338584542274475
48,112,104,0.40558600425720215
49,112,105,0.400607168674469
50,112,106,0.3887726962566376
51,112,107,0.3984931409358978
52,112,108,0.7017543911933899
53,112,109,0.4262720048427582
54,112,110,0.8683748841285706
55,113,101,0.38877004384994507
56,113,102,0.4891926050186157
57,113,103,0.4815726578235626
58,113,104,0.5804190635681152
59,113,105,0.45970529317855835
60,113,106,0.6654884219169617
61,113,107,0.6078700423240662
62,113,108,0.4041289687156677
63,113,109,0.4774324297904968
64,113,110,0.38866233825683594
65,113,111,0.42429879307746887
66,115,101,0.5911195278167725
67,115,102,0.41145288944244385
68,115,103,0.3435487151145935
69,115,104,0.40081191062927246
70,115,105,0.39564403891563416
71,115,106,0.38609859347343445
72,115,107,0.4088518023490906
73,115,108,0.6012327671051025
74,115,109,0.4261954128742218
75,115,110,0.5912541747093201
76,115,111,0.6252527832984924
77,115,112,0.6131008267402649
78,116,101,0.6745786666870117
79,116,102,0.41439446806907654
80,116,103,0.35185426473617554
81,116,104,0.4116137623786926
82,116,105,0.41367292404174805
83,116,106,0.3955993056297302
84,116,107,0.41330546140670776
85,116,108,0.9025980234146118
86,116,109,0.43343910574913025
87,116,110,0.6748713850975037
88,116,111,0.681441605091095
89,116,112,0.6970788240432739
90,116,113,0.40785351395606995
91,118,101,0.39208608865737915
92,118,102,0.4745306372642517
93,118,103,0.6402608156204224
94,118,104,0.7985028028488159
95,118,105,0.4565543830394745
96,118,106,0.5765633583068848
97,118,107,0.8502790331840515
98,118,108,0.41013890504837036
99,118,109,0.4712095558643341
100,118,110,0.39216622710227966
101,118,111,0.41791045665740967
102,118,112,0.40112006664276123
103,118,113,0.617120087146759
104,118,115,0.41228383779525757
105,122,101,0.6672224998474121
106,122,102,0.4166899621486664
107,122,103,0.34663715958595276
108,122,104,0.40720635652542114
109,122,105,0.41187584400177
110,122,106,0.3925034999847412
111,122,107,0.4107418358325958
112,122,108,0.9636068344116211
113,122,109,0.4370163679122925
114,122,110,0.667513906955719
115,122,111,0.6866672039031982
116,122,112,0.704532265663147
117,122,113,0.4086119830608368
118,122,115,0.6141638159751892
119,122,116,0.8959376811981201
120,123,101,0.6589739322662354
121,123,102,0.4119546413421631
122,123,103,0.346608430147171
123,123,104,0.4076479971408844
124,123,105,0.40728697180747986
125,123,106,0.3928501009941101
126,123,107,0.40715959668159485
127,123,108,0.9996161460876465
128,123,109,0.4339143633842468
129,123,110,0.6592575311660767
130,123,111,0.6751210689544678
131,123,112,0.7017300724983215
132,123,113,0.4041847884654999
133,123,115,0.601201593875885
134,123,116,0.9027637243270874
135,123,118,0.4101967513561249
136,124,101,0.6011444330215454
137,124,102,0.4127421975135803
138,124,103,0.33928805589675903
139,124,104,0.3979898691177368
140,124,105,0.404560923576355
141,124,106,0.38969600200653076
142,124,107,0.4043201208114624
143,124,108,0.616753101348877
144,124,109,0.4228803515434265
145,124,110,0.6011601090431213
146,124,111,0.6350148320198059
147,124,112,0.616788923740387
148,124,113,0.4100606441497803
149,124,115,0.7321351170539856
150,124,116,0.6194647550582886
151,124,118,0.41033831238746643
152,124,122,0.6187120079994202
153,125,101,0.6452516317367554
154,125,102,0.41758623719215393
155,125,103,0.3563525080680847
156,125,104,0.4212638735771179
157,125,105,0.41211146116256714
158,125,106,0.4015669524669647
159,125,107,0.41197770833969116
160,125,108,0.697647750377655
161,125,109,0.4253362715244293
162,125,110,0.645402193069458
163,125,111,0.6507691144943237
164,125,112,0.6721522808074951
165,125,113,0.40770408511161804
166,125,115,0.5976813435554504
167,125,116,0.702032744884491
168,125,118,0.41253820061683655
169,125,122,0.6958578824996948
170,125,123,0.6974838376045227
171,147,101,0.5223805904388428
172,147,102,0.35942259430885315
173,147,103,0.3598467707633972
174,147,104,0.37232860922813416
175,147,105,0.36100223660469055
176,147,106,0.3558964431285858
177,147,107,0.3821634352207184
178,147,108,0.5642470717430115
179,147,109,0.3766404986381531
180,147,110,0.5226019024848938
181,147,111,0.5440018177032471
182,147,112,0.5479269027709961
183,147,113,0.3641125559806824
184,147,115,0.5052500367164612
185,147,116,0.5787386298179626
186,147,118,0.37393397092819214
187,147,122,0.5638994574546814
188,147,123,0.5640968084335327
189,147,124,0.5168977379798889
190,152,101,0.4047313332557678
191,152,102,0.5018721222877502
192,152,103,0.4990113377571106
193,152,104,0.6006863117218018
194,152,105,0.4644321799278259
195,152,106,0.7087418437004089
196,152,107,0.6133895516395569
197,152,108,0.4114341139793396
198,152,109,0.4864470958709717
