uid,refseq_acc,primary_taxid,species_taxid,use
922271,GCF_001909055.1,1349432,1349432,False
922391,GCF_001909285.1,307643,307643,False
92241,GCF_000519125.1,1121406,399548,True
92271,GCF_000519185.1,1121127,392320,True
92281,GCF_000519205.1,1120984,342230,True
92311,GCF_000519265.1,935942,66849,True
92341,GCF_000519325.1,929712,298163,True
92351,GCF_000519345.1,926554,309888,True
924071,GCF_900128895.1,1123272,394732,True
924081,GCF_900128865.1,29570,29570,True
924101,GCF_900129465.1,536979,536979,True
924141,GCF_900129785.1,226505,226505,True
924151,GCF_900129975.1,1121457,458711,False
924181,GCF_900141795.1,364032,364032,True
924191,GCF_900141765.1,1416779,1416779,True
924211,GCF_900141965.1,267375,267375,True
924221,GCF_900142065.1,232089,33878,True
924231,GCF_900142295.1,1217970,1217970,False
924301,GCF_900143105.1,28230,28230,True
924311,GCF_900143185.1,59733,59733,True
924321,GCF_900143275.1,1131553,44575,False
924331,GCF_900143515.1,709881,709881,True
9248911,GCF_016808375.1,472693,472693,True
9250421,GCF_016811105.1,1837375,1837375,True
9250491,GCF_016811235.1,1128671,1128671,True
9250721,GCF_016812185.1,1608994,1608994,True
9250731,GCF_016812215.1,296,296,True
9251771,GCF_016814295.1,83219,83219,True
9251971,GCF_016814695.1,1342299,1342299,True
9253301,GCF_016817355.1,144023,144023,False
9254951,GCF_016820515.1,2782537,2782537,True
9254981,GCF_016820575.1,256323,256323,True
9261771,GCF_016834455.1,1173586,1173586,True
9261871,GCF_016834655.1,2810368,2810368,True
9262491,GCF_016837145.1,2770505,2770505,False
9262531,GCF_016837225.1,2774191,2774191,True
9267191,GCF_016858125.1,404405,404405,False
9267201,GCF_004291115.2,33028,33028,True
9273761,GCF_016859375.1,44935,44935,True
9274321,GCF_016860525.1,285531,285531,True
9274331,GCF_016860545.1,249586,249586,True
9274831,GCF_016861565.1,2799580,2799580,True
9274851,GCF_016861545.1,110505,110505,True
9274861,GCF_016861585.1,2799566,2799566,True
9274881,GCF_016861655.1,2799568,2799568,True
9274901,GCF_016861695.1,2799570,2799570,True
9274931,GCF_016861765.1,2799574,2799574,True
9274981,GCF_016861845.1,2799577,2799577,True
9274991,GCF_016861895.1,2799579,2799579,True
9275031,GCF_016861975.1,519421,519421,False
9275051,GCF_016861995.1,882441,882441,True
9275061,GCF_016862015.1,52695,52695,True
9275071,GCF_016862035.1,113559,113559,True
9275081,GCF_016862055.1,76756,76756,True
9275091,GCF_016862075.1,403638,403638,False
9275101,GCF_016862095.1,52696,52696,True
9275111,GCF_016862115.1,113561,113561,True
9275131,GCF_016862155.1,1868,1868,True
9275141,GCF_016862175.1,113563,113563,True
9275151,GCF_016862195.1,113564,113564,True
9275161,GCF_016862215.1,113566,113566,True
9275171,GCF_016862235.1,113567,113567,True
9275181,GCF_016862255.1,113568,113568,True
9275191,GCF_016862275.1,135950,135950,True
9275201,GCF_016862295.1,135948,135948,True
9275211,GCF_016862315.1,113570,113570,True
9275241,GCF_016862375.1,1050105,1050105,True
9275251,GCF_016862395.1,1223317,1223317,True
9275271,GCF_016862435.1,571912,571912,True
9275281,GCF_016862455.1,1869,1869,True
9275291,GCF_016862475.1,512350,512350,True
9275311,GCF_016862515.1,234613,234613,True
9275331,GCF_016862555.1,926357,926357,True
9275341,GCF_016862575.1,310355,310355,False
9275361,GCF_016862615.1,53366,53366,True
9275371,GCF_016862635.1,310354,310354,False
9275391,GCF_016862675.1,398759,398759,False
9275401,GCF_016862695.1,264297,264297,True
9275421,GCF_016862735.1,931536,931536,True
9275431,GCF_016862755.1,992287,992287,False
9275441,GCF_016862775.1,478780,478780,False
9275451,GCF_016862795.1,685454,685454,True
9275461,GCF_016862815.1,1582364,1582364,True
9275481,GCF_016862855.1,714109,714109,True
9275501,GCF_016862895.1,575193,575193,True
9275511,GCF_016862915.1,673535,673535,False
9275521,GCF_016862935.1,566021,566021,False
