db_id,ncbi_id,name,nspecies,ngenomes
194,305899,Endozoicomonas,2,4
195,41707,Lawsonia,1,2
196,168694,Salinispora,7,92
197,768,Anaplasma,2,35
198,58113,Glycomyces,1,2
199,613121,Smaragdicoccus,1,2
200,773,Bartonella,14,69
201,776,Coxiella,1,25
202,780,Rickettsia,15,59
203,1381133,Candidatus Profftella,1,2
204,92944,Ketogulonicigenium,1,3
205,29465,Veillonella,3,11
206,97050,Ruegeria,1,2
207,365348,Pelosinus,1,3
208,133925,Olsenella,1,3
209,810,Chlamydia,6,203
210,29487,Photorhabdus,3,10
211,816,Bacteroides,17,162
212,1649459,Hungatella,1,3
213,670516,Mycobacteroides,2,254
214,475960,Bellilinea,1,2
215,475966,Leptolinea,1,2
216,830,Butyrivibrio,2,8
217,832,Fibrobacter,1,2
218,836,Porphyromonas,10,52
219,838,Prevotella,31,91
220,582472,Wohlfahrtiimonas,1,4
221,841,Roseburia,1,2
222,1635148,Sanguibacteroides,1,2
223,848,Fusobacterium,5,75
224,29521,Brachyspira,2,25
225,76634,Mycetocola,1,2
226,869,Dichelobacter,1,2
227,872,Desulfovibrio,4,9
228,29548,Rhodothermus,1,3
229,478070,Labrenzia,2,5
230,29574,Taylorella,2,7
231,904,Acidaminococcus,1,2
232,1637257,Mageeibacillus,1,2
233,906,Megasphaera,1,4
234,29580,Janthinobacterium,1,2
235,363408,Nonlabens,1,6
236,189330,Dorea,1,2
237,160674,Raoultella,2,11
238,939,Hydrogenobacter,1,2
239,943,Ehrlichia,3,15
240,953,Wolbachia,2,4
241,336827,Rhodonellum,1,2
242,963,Herbaspirillum,3,8
243,2094023,Glaesserella,1,24
244,970,Selenomonas,4,8
245,314318,Prolixibacter,1,2
246,41949,Candidatus Microthrix,1,2
247,2767842,Lactiplantibacillus,4,90
248,168934,Thalassospira,1,3
249,447467,Simiduia,1,2
250,35823,Arthrospira,1,3
251,35832,Bilophila,1,2
252,1016,Capnocytophaga,4,15
253,2767875,Agrilactobacillus,1,2
254,2767877,Apilactobacillus,1,16
255,2767879,Companilactobacillus,5,13
256,2767881,Fructilactobacillus,4,12
257,2767882,Furfurilactobacillus,1,3
258,2767883,Holzapfelia,1,2
259,39948,Dialister,1,2
260,2767885,Latilactobacillus,3,12
261,2767886,Levilactobacillus,5,23
262,2767887,Ligilactobacillus,12,50
263,2767888,Liquorilactobacillus,3,8
264,2767889,Loigolactobacillus,1,5
265,2767890,Paucilactobacillus,2,4
266,2767891,Schleiferilactobacillus,1,2
267,2767892,Secundilactobacillus,4,9
268,2767893,Lentilactobacillus,7,17
269,2692118,Winkia,1,2
270,1041,Erythrobacter,1,2
271,37914,Dietzia,1,2
272,2282523,Methylorubrum,1,5
273,76831,Myroides,3,13
274,54304,Planktothrix,1,2
275,93217,Pandoraea,2,11
276,76833,Actinobaculum,1,2
277,82980,Leminorella,1,2
278,1060,Rhodobacter,2,16
279,82986,Tatumella,1,2
280,228398,Streptacidiphilus,1,2
281,2759736,Lacticaseibacillus,9,115
282,1081,Rhodospirillum,1,2
283,166974,Lechevalieria,1,2
284,490567,Arenimonas,2,4
285,246861,Grimontia,1,2
286,33882,Microbacterium,2,6
287,76890,Asticcacaulis,1,2
288,33886,Rathayibacter,1,4
289,572511,Blautia,2,4
290,1123,Chlorogloeopsis,1,2
291,187492,Thalassolituus,1,2
292,1125,Microcystis,1,17
293,1129,Synechococcus,1,2
294,158848,Moellerella,1,2
295,158851,Trabulsiella,1,7
296,1866885,Mycolicibacterium,13,40
297,33926,Candidatus Phytoplasma,1,2
298,416916,Aggregatibacter,2,39
299,1175,Aphanizomenon,1,2
300,158876,Yokenella,1,2
301,46239,Mesoplasma,1,2
302,119977,Acidithiobacillus,4,11
303,140458,Thermacetogenium,1,2
304,46254,Oenococcus,2,61
305,46255,Weissella,5,17
306,33969,Melissococcus,1,13
307,238783,Pseudorhodobacter,1,2
308,1218,Prochlorococcus,1,29
309,33986,Exiguobacterium,3,6
310,40136,Oligotropha,1,3
311,1227,Nitrosococcus,1,4
312,1237,Piscirickettsia,1,11
313,34008,Rhodovulum,1,4
314,44249,Paenibacillus,12,43
315,1243,Leuconostoc,4,29
316,748770,Dolichospermum,1,2
317,34019,Liberibacter,4,17
318,44260,Moorella,1,4
319,1253,Pediococcus,4,25
320,466152,Singulisphaera,1,2
321,1257,Peptostreptococcus,1,5
