species_v11_idx1,species_v12_idx1,ngenomes
918,809,4
919,810,7
920,406,2
921,59,12
922,60,16
923,63,2
924,62,10
925,61,10
926,371,9
927,372,4
928,373,2
929,374,2
930,375,3
931,388,2
932,1317,2
933,1318,2
934,1316,2
935,1315,3
936,1320,2
937,1319,2
938,1195,4
939,355,3
940,168,2
941,169,4
942,1157,2
943,1152,4
944,441,3
945,81,2
946,563,36
947,1114,7
948,1116,2
949,1110,9
949,1111,22
949,1112,2
949,1113,2
950,1115,3
950,1117,3
951,906,8
952,909,2
953,908,7
954,907,8
955,442,2
956,1206,5
957,614,3
958,368,2
959,367,2
960,911,5
961,1098,2
962,494,14
963,497,2
964,495,2
965,498,2
966,499,6
967,496,6
968,623,5
968,624,2
969,0,1
969,622,3
970,856,2
971,882,11
972,808,2
973,370,2
974,546,2
975,1084,11
976,295,2
977,296,2
978,655,2
979,656,3
980,657,2
981,652,2
982,650,4
983,651,18
984,659,2
985,658,12
986,654,5
987,653,2
988,45,5
989,684,2
990,661,5
991,667,3
992,671,7
993,664,2
994,670,2
995,672,2
996,673,2
997,674,3
998,669,2
999,675,5
1000,676,4
1001,666,2
1002,689,2
1003,683,3
1004,677,4
1005,660,3
1006,686,3
1007,662,2
1008,663,3
1009,690,2
1010,678,3
1011,679,3
1012,680,4
1013,681,2
1014,685,2
1015,687,2
1016,668,2
1017,688,2
1018,665,5
1019,682,3
1020,876,29
1021,608,2
1022,735,2
1023,1293,2
1024,1100,4
1025,1103,98
1026,1101,6
1027,1292,23
1028,1102,2
1029,1104,4
1030,1105,2
1031,279,2
1032,435,48
1033,1154,2
1034,438,9
1035,436,2
1036,437,7
1037,0,6
1038,1435,10
1039,1436,4
1040,1438,2
1041,1437,3
1042,1416,2
1043,209,2
1044,178,1547
1045,202,2
1046,189,4
1047,206,29
1048,201,6
1049,185,3
1050,205,11
1051,196,3
1052,197,9
1053,207,4
1054,190,9
1055,179,38
1056,180,2
1057,208,2
1058,186,6
1059,193,2
1060,194,5
1061,191,2
1062,203,2
1063,187,4
1064,200,3
1065,195,2
1066,181,2
1067,210,2
1068,177,12
1069,182,28
1070,198,25
1071,183,14
1072,184,114
1073,204,2
1074,188,2
1075,199,2
1076,192,4
1077,875,2
1078,1120,2
1079,1119,2
1080,1258,3
1081,369,2
1082,915,4
1083,719,7
1084,718,4
1085,834,4
1086,1255,2
1087,275,2
1088,276,6
1089,274,27
1090,277,2
1091,1184,3
1092,1185,2
1093,813,9
1094,814,7
1095,1338,4
1096,1337,9
1097,1335,21
1098,1339,3
1099,1340,3
1100,1336,3
1101,726,2
1102,968,4
1103,967,2
1104,826,2
1105,707,3
1106,883,4
1107,77,2
1108,600,4
1109,598,2
1110,601,4
1111,599,2
1112,594,3
1113,603,4
1114,593,2
1115,604,2
1116,605,4
1117,595,12
1118,602,2
1119,596,10
1120,606,3
1121,607,2
1122,597,3
1123,1007,13
1124,692,2
1125,216,2
1126,1143,2
1127,1144,6
1128,1145,18
1129,1109,2
1130,1108,2
1131,613,2
1132,478,2
1133,537,2
1134,1009,2
1135,535,2
1136,1,2
1137,536,7
1138,912,4
1139,913,2
1140,1313,2
1141,1207,2
1142,113,2
1143,1358,2
1144,1359,2
1145,1348,3
1146,1349,2
1147,1148,2
1148,570,44
1149,567,2
1149,568,3
1149,569,3
1149,572,2
1149,573,27
1150,571,11
1151,95,2
1152,440,3
1153,439,4650
1154,693,2
1155,1151,2
1156,1150,2
1157,734,2
1158,733,2
1159,731,2
1160,732,2
1161,448,6
1162,445,2
1163,443,5
1164,444,282
1165,446,8
1166,447,3
1167,449,2
1168,15,4
1169,14,9
1170,16,2
1171,13,3
1172,450,13
1173,451,6
1174,452,104
1175,453,563
1176,110,2
1177,742,2
1178,910,2
1179,1122,10
1180,1124,6
1181,1123,28
1182,577,2
1183,1183,2
1184,1196,2
1185,366,2
1186,559,4
1187,1341,2
1188,1361,2
1189,1362,3
1190,1360,2
1191,1364,2
1192,1363,6
1193,1087,4
1194,1088,2
1195,1086,2
1196,1368,2
1197,1369,2
1198,80,2
1199,57,2
1200,58,2
1201,18,2
1202,17,2
1203,239,2
1204,932,2
1205,922,6497
1206,936,3
1207,923,3
1208,937,4
1209,935,2
1210,924,306
1211,921,4
1212,925,129
1213,928,9
1214,933,11
1215,940,2
1216,939,6
1217,938,7
1218,930,5
1219,941,2
1220,931,9
1221,926,5
1222,934,2
1223,929,14
1224,927,5
1225,1094,2
1226,1095,100
1227,21,2
1228,816,2
1229,980,622
1230,985,12
1231,1004,2
1232,997,6
1233,1003,3
1234,986,14
1235,988,243
1236,987,7
1237,1000,7
1238,973,20
1239,1001,2
1240,992,5
1241,989,3
1242,996,2
1243,998,4
1244,981,171
1245,974,8
1246,984,28
1247,993,13
1248,972,5
1249,1002,2
1250,982,7099
1251,999,11
1252,971,2
1253,983,249
1254,990,2
1255,975,17
1256,976,27
1257,979,46
1258,977,853
1259,978,15
1260,994,13
1261,995,2
1262,991,3
1263,1373,3
1264,1400,4
1265,1383,6
1266,1384,2
1267,1385,2
1268,1377,2
1269,11,4
1270,1372,4
1271,1375,2
1272,1386,3
1273,1374,2
1274,1379,3
1275,1405,2
1276,1387,3
1277,1403,2
1278,1409,3
1279,1388,2
1280,1378,2
1281,1389,2
1282,1396,2
1283,1390,4
1284,1391,6
1285,1404,3
1286,1392,3
1287,1397,2
1288,1401,2
1289,1407,2
1290,1379,2
1291,1398,2
1292,1380,3
1293,1393,33
1294,1408,2
1295,1376,2
1296,1394,11
1297,1410,2
1298,1402,2
1299,1381,2
1300,1406,2
1301,1395,3
1302,1399,2
1303,1382,2
1304,1423,2
1305,562,2
1306,561,2
1307,1093,2
1308,94,2
1309,227,2
1310,1197,2
1311,840,2
1312,1082,4
1313,323,2
1314,815,2
1315,710,2
1316,711,5
1317,1156,2
1318,1188,2
1319,273,9
1320,265,2
1321,324,2
1322,325,3
1323,428,2
1324,46,2
1325,838,2
1326,741,3
1327,215,2
1328,866,2
1329,1294,2
1330,1295,2
1331,141,2
1332,1296,3
1333,1291,2
1334,1205,2
1335,264,2
1336,213,6
1337,214,2
1338,170,3
1339,174,2
1340,173,2
1341,172,4
1342,171,3
1343,1118,2
1344,842,7
1345,87,16
1346,88,14
1347,92,6
1348,89,3
1349,91,2
1350,90,2
1351,1431,19
1352,305,4
1353,1272,3
1354,56,6
1355,55,14
1356,418,2
1357,1006,11
1358,611,4
1359,612,2
1360,610,5
1361,454,2
1362,503,3
1363,502,18
1363,513,3
1364,527,4
1365,522,2
1366,521,3
1367,509,17
1368,503,437
1369,515,6
1370,501,14
1371,528,21
1372,508,4
1373,523,3
1374,504,27
1375,517,3
1376,529,5
1377,506,10
1378,511,3
1379,524,4
1380,512,2
1381,519,14
1382,520,2
1383,500,6
1384,505,474
1385,518,2
1386,516,3
1387,510,2
1388,514,4
1389,525,16
1390,0,1
1390,530,5
1391,526,3
1392,507,37
1393,304,2
1394,1429,2
1395,872,4
1396,873,6
1397,870,2
1398,871,3
1399,869,2
1400,272,2
1401,691,4
1402,724,2
1403,725,2
1404,246,15
1405,247,3
1406,248,6
1407,245,79
1408,241,11
1408,248,13
1408,251,5
1409,243,51
1410,247,29
1411,243,18
1412,249,11
1413,244,25
1414,240,33
1415,250,2
1416,242,29
1417,251,12
1418,252,5
1419,456,11
1420,455,4
1421,228,28
1422,469,6
1423,466,2
1424,464,3
1425,461,140
1426,470,22
1427,462,14
1428,468,13
1429,460,9
1430,467,2
1431,463,265
1432,465,40
1433,471,6
1434,472,9
1435,474,4
1436,473,3
1437,860,2
1438,398,9
