accession,species_v11_idx1,species_v12_idx1
GCF_000631185.1,1253,983
GCF_000631205.1,1253,983
GCF_000631225.1,1253,983
GCF_000631245.1,1253,983
GCF_000631265.1,1253,983
GCF_000631285.1,1253,983
GCF_000631305.1,1253,983
GCF_000631325.1,1253,983
GCF_000631345.1,1253,983
GCF_000631365.1,1253,983
GCF_000631385.1,1253,983
GCF_000631405.1,1253,983
GCF_000631425.1,1253,983
GCF_000631445.1,1253,983
GCF_000631465.1,1253,983
GCF_000631485.1,1253,983
GCF_000631505.1,1253,983
GCF_000631525.1,1253,983
GCF_000631545.1,1253,983
GCF_000631565.1,1253,983
GCF_000631585.1,1253,983
GCF_000631605.1,1253,983
GCF_000631625.1,1253,983
GCF_000631645.1,1253,983
GCF_000631665.1,1253,983
GCF_000631685.1,1253,983
GCF_000631705.1,1253,983
GCF_000631725.1,1253,983
GCF_000631745.1,1253,983
GCF_000631765.1,1253,983
GCF_000631785.1,1253,983
GCF_000631805.1,1253,983
GCF_000631825.1,1253,983
GCF_000631845.1,1253,983
GCF_000631865.1,1253,983
GCF_000631885.1,1253,983
GCF_000631905.1,1253,983
GCF_000631925.1,1253,983
GCF_000631945.1,1253,983
GCF_000631965.1,1253,983
GCF_000632005.1,794,914
GCF_000632065.1,792,832
GCF_000632125.1,1190,1360
GCF_000632145.1,794,914
GCF_000632185.1,794,914
GCF_000632295.1,463,1017
GCF_000632315.1,463,1017
GCF_000632335.1,463,1017
GCF_000632355.1,463,1017
GCF_000632375.1,950,1115
GCF_000632395.1,448,415
GCF_000632435.1,315,116
GCF_000632475.1,116,111
GCF_000632555.1,489,424
GCF_000632575.1,489,424
GCF_000632595.2,489,424
GCF_000632615.2,489,424
GCF_000632635.1,489,424
GCF_000632655.1,489,424
GCF_000632675.2,489,424
GCF_000632715.1,523,163
GCF_000632815.1,439,722
GCF_000632865.1,439,722
GCF_000632885.1,439,722
GCF_000632905.1,439,722
GCF_000632925.1,439,722
GCF_000632945.1,439,722
GCF_000632965.1,439,722
GCF_000633005.1,40,342
GCF_000633065.1,315,116
GCF_000633085.1,834,1302
GCF_000633175.1,68,479
GCF_000633275.1,762,919
GCF_000633335.1,1164,444
GCF_000633375.1,862,806
GCF_000633495.1,1044,178
GCF_000633555.1,1164,444
GCF_000633655.1,489,424
GCF_000633675.1,489,424
GCF_000633715.1,1164,444
GCF_000633735.1,590,431
GCF_000633755.1,590,431
GCF_000633775.1,590,431
GCF_000633915.1,1069,182
GCF_000635895.2,127,1055
GCF_000635955.1,68,479
GCF_000636035.1,549,554
GCF_000636055.1,549,554
GCF_000636075.1,549,554
GCF_000636135.1,1153,439
GCF_000636155.1,1205,922
GCF_000636175.1,1205,922
GCF_000636195.1,1205,922
GCF_000636215.1,1205,922
GCF_000636235.1,1205,922
GCF_000636255.1,1205,922
GCF_000636275.1,1205,922
GCF_000636295.1,1205,922
GCF_000636315.1,1205,922
GCF_000636335.1,1205,922
GCF_000636355.1,1205,922
GCF_000636375.1,1205,922
GCF_000636395.1,1205,922
GCF_000636415.1,1205,922
GCF_000636435.1,1205,922
GCF_000636455.1,1205,922
GCF_000636475.1,1205,922
GCF_000636495.1,1205,922
GCF_000636515.1,1205,922
GCF_000636535.1,1205,922
GCF_000636555.1,1205,922
GCF_000636575.1,1205,922
GCF_000636595.1,1205,922
GCF_000636615.1,1205,922
GCF_000636635.1,1205,922
GCF_000636655.1,1205,922
GCF_000636675.1,1205,922
GCF_000636695.1,1205,922
GCF_000636715.1,1205,922
GCF_000636735.1,1205,922
GCF_000636755.1,1205,922
GCF_000636775.1,1205,922
GCF_000636795.1,1205,922
GCF_000636815.1,1205,922
GCF_000636835.1,1205,922
GCF_000636855.1,1205,922
GCF_000636875.1,1205,922
GCF_000636895.1,1205,922
GCF_000636915.1,1205,922
GCF_000636935.1,1205,922
GCF_000636955.1,1205,922
GCF_000636975.1,1205,922
GCF_000636995.1,1205,922
GCF_000637015.1,1205,922
GCF_000637035.1,1205,922
GCF_000637055.1,1205,922
GCF_000637075.1,1205,922
GCF_000637095.1,1205,922
GCF_000637115.1,1205,922
GCF_000637135.1,1205,922
GCF_000637155.1,1205,922
GCF_000637175.1,1205,922
GCF_000637195.1,1205,922
GCF_000637215.1,1205,922
GCF_000637235.1,1205,922
GCF_000637255.1,1205,922
GCF_000637275.1,1205,922
GCF_000637295.1,1205,922
GCF_000637315.1,1205,922
GCF_000637335.1,1205,922
GCF_000637355.1,1205,922
GCF_000637375.1,1205,922
GCF_000637395.1,1205,922
GCF_000637415.1,1205,922
GCF_000637435.1,1205,922
GCF_000637455.1,1205,922
GCF_000637475.1,1205,922
GCF_000637495.1,1205,922
GCF_000637515.1,1205,922
GCF_000637535.1,1205,922
GCF_000637555.1,1205,922
GCF_000637575.1,1205,922
GCF_000637595.1,1205,922
GCF_000637615.1,1205,922
GCF_000637635.1,1205,922
GCF_000637655.1,1205,922
GCF_000637675.1,1205,922
GCF_000637695.1,1205,922
GCF_000637715.1,1205,922
GCF_000637735.1,1205,922
GCF_000637755.1,1205,922
GCF_000637775.1,1205,922
GCF_000637795.1,1205,922
GCF_000637815.1,1205,922
GCF_000637835.1,1205,922
GCF_000637855.1,1205,922
GCF_000637875.1,1205,922
GCF_000637895.1,1205,922
GCF_000637915.1,1205,922
GCF_000637935.1,1205,922
GCF_000637955.1,1205,922
GCF_000637975.1,1205,922
GCF_000637995.1,1205,922
GCF_000638015.1,1205,922
GCF_000638035.1,1205,922
GCF_000638055.1,1205,922
GCF_000638075.1,1205,922
GCF_000638095.1,1205,922
GCF_000638115.1,1205,922
GCF_000638135.1,1205,922
GCF_000638155.1,1205,922
GCF_000638175.1,1205,922
GCF_000638195.1,1205,922
GCF_000638215.1,1205,922
GCF_000638235.1,1205,922
GCF_000638255.1,1205,922
GCF_000638275.1,1205,922
GCF_000638295.1,1205,922
GCF_000638315.1,1205,922
GCF_000638335.1,1205,922
GCF_000638355.1,1205,922
GCF_000638375.1,1205,922
GCF_000638395.1,1205,922
GCF_000638415.1,1205,922
GCF_000638435.1,1205,922
GCF_000638455.1,1205,922
GCF_000638475.1,1205,922
GCF_000638515.1,1205,922
GCF_000638535.1,1205,922
GCF_000638555.1,1205,922
GCF_000638575.1,1205,922
GCF_000638595.1,1205,922
GCF_000638615.1,1205,922
GCF_000638635.1,1205,922
GCF_000638655.1,1205,922
GCF_000638675.1,1205,922
GCF_000638695.1,1205,922
GCF_000638715.1,1205,922
GCF_000638735.1,1205,922
GCF_000638755.1,1205,922
GCF_000638775.1,1205,922
GCF_000638795.1,1205,922
GCF_000638815.1,1205,922
GCF_000638835.1,1205,922
GCF_000638855.1,1205,922
GCF_000638875.1,1205,922
GCF_000638895.1,1205,922
GCF_000638915.1,1205,922
GCF_000638935.1,1205,922
GCF_000638955.1,1205,922
GCF_000638975.1,1205,922
GCF_000638995.1,1205,922
GCF_000639015.1,1205,922
GCF_000639035.1,1205,922
GCF_000639055.1,1205,922
GCF_000639075.1,1205,922
GCF_000639095.1,1205,922
GCF_000639115.1,1205,922
GCF_000639135.1,1205,922
GCF_000639155.1,1205,922
GCF_000639175.1,1205,922
GCF_000639195.1,1205,922
GCF_000639215.1,1205,922
GCF_000639235.1,1205,922
GCF_000639255.1,1205,922
GCF_000639275.1,1205,922
GCF_000639295.1,1205,922
GCF_000639315.1,1205,922
GCF_000639335.1,1205,922
GCF_000639355.1,1205,922
GCF_000639375.1,1205,922
GCF_000639395.1,1205,922
GCF_000639415.1,1205,922
GCF_000639435.1,1205,922
GCF_000639455.1,1205,922
GCF_000639475.1,1205,922
GCF_000639495.1,1205,922
GCF_000639515.1,1205,922
GCF_000639535.1,1205,922
GCF_000639555.1,1205,922
GCF_000639575.1,1205,922
GCF_000639595.1,1205,922
GCF_000639615.1,1205,922
GCF_000639635.1,1205,922
GCF_000639655.1,1205,922
GCF_000639675.1,1205,922
GCF_000639695.1,1205,922
GCF_000639715.1,1205,922
GCF_000639735.1,1205,922
GCF_000639755.1,1205,922
GCF_000639775.1,1205,922
GCF_000639795.1,1205,922
GCF_000639815.1,1205,922
GCF_000639835.1,1205,922
GCF_000639855.1,1205,922
GCF_000639875.1,1205,922
GCF_000639895.1,1205,922
GCF_000639915.1,1205,922
GCF_000639935.1,1205,922
GCF_000639955.1,1205,922
GCF_000639975.1,1205,922
GCF_000639995.1,1205,922
GCF_000640015.1,1205,922
GCF_000640035.1,1205,922
GCF_000640055.1,1205,922
GCF_000640075.1,1205,922
GCF_000640095.1,1205,922
GCF_000640115.1,1205,922
GCF_000640135.1,1205,922
GCF_000640155.1,1205,922
GCF_000640175.1,1205,922
GCF_000640195.1,1205,922
GCF_000640215.1,1205,922
GCF_000640235.1,1205,922
GCF_000640255.1,1205,922
GCF_000640275.1,1205,922
GCF_000640295.1,1205,922
GCF_000640315.1,1205,922
GCF_000640335.1,1205,922
GCF_000640355.1,1205,922
GCF_000640375.1,1205,922
GCF_000640395.1,1205,922
GCF_000640415.1,1205,922
GCF_000640435.1,1205,922
GCF_000640455.1,1205,922
GCF_000640475.1,1205,922
GCF_000640495.1,1205,922
GCF_000640515.1,1205,922
GCF_000640535.1,1205,922
GCF_000640555.1,1205,922
GCF_000640575.1,1205,922
GCF_000640595.1,1205,922
GCF_000640615.1,1205,922
GCF_000640635.1,1205,922
GCF_000640655.1,1205,922
GCF_000640675.1,1205,922
GCF_000640695.1,1205,922
GCF_000640715.1,1205,922
GCF_000640735.1,1205,922
GCF_000640755.1,1205,922
GCF_000640775.1,1205,922
GCF_000640795.1,1205,922
GCF_000640815.1,1205,922
GCF_000640835.1,1205,922
GCF_000640855.1,1205,922
GCF_000640875.1,1205,922
GCF_000640895.1,1205,922
GCF_000640915.1,1205,922
GCF_000640935.1,1205,922
GCF_000640955.1,1205,922
GCF_000640975.1,1205,922
GCF_000640995.1,1205,922
GCF_000641015.1,1205,922
GCF_000641035.1,1205,922
GCF_000641055.1,1205,922
GCF_000641075.1,1205,922
GCF_000641095.1,1205,922
GCF_000641115.1,1205,922
GCF_000641135.1,1205,922
GCF_000641155.1,1205,922
GCF_000641175.1,1205,922
GCF_000641195.1,1205,922
GCF_000641215.1,1205,922
GCF_000641235.1,1205,922
GCF_000641255.1,1205,922
GCF_000641275.1,1205,922
GCF_000641295.1,1205,922
GCF_000641315.1,1205,922
GCF_000641335.1,1205,922
GCF_000641355.1,1205,922
GCF_000641375.1,1205,922
GCF_000641395.1,1205,922
GCF_000641415.1,1205,922
GCF_000641435.1,1205,922
GCF_000641455.1,1205,922
GCF_000641475.1,1205,922
GCF_000641495.1,1205,922
GCF_000641515.1,1205,922
GCF_000641535.1,1205,922
GCF_000641555.1,1205,922
GCF_000641575.1,1205,922
GCF_000641595.1,1205,922
GCF_000641615.1,1205,922
GCF_000641635.1,1205,922
GCF_000641655.1,1205,922
GCF_000641675.1,1205,922
GCF_000641695.1,1205,922
GCF_000641715.1,1205,922
GCF_000641735.1,1205,922
GCF_000641755.1,1205,922
GCF_000641775.1,1205,922
GCF_000641795.1,1205,922
GCF_000641815.1,1205,922
GCF_000641835.1,1205,922
GCF_000641855.1,1205,922
GCF_000641875.1,1205,922
GCF_000641895.1,1205,922
GCF_000641915.1,1205,922
GCF_000641935.1,1205,922
GCF_000641955.1,1205,922
GCF_000641975.1,1205,922
GCF_000641995.1,1205,922
GCF_000642015.1,1205,922
GCF_000642035.1,1205,922
GCF_000642055.1,1205,922
GCF_000642075.1,1205,922
GCF_000642095.1,1205,922
GCF_000642115.1,1205,922
GCF_000642135.1,1205,922
GCF_000642155.1,1205,922
GCF_000642175.1,1205,922
GCF_000642195.1,1205,922
GCF_000642215.1,1205,922
GCF_000642235.1,1205,922
GCF_000642255.1,1205,922
GCF_000642275.1,1205,922
GCF_000642295.1,1205,922
GCF_000642315.1,1205,922
GCF_000642335.1,1205,922
GCF_000642355.1,1205,922
GCF_000642375.1,1205,922
GCF_000642395.1,1205,922
GCF_000642415.1,1205,922
GCF_000642435.1,1205,922
GCF_000642455.1,1205,922
GCF_000642475.1,1205,922
GCF_000642495.1,1205,922
GCF_000642515.1,1205,922
GCF_000642535.1,1205,922
GCF_000642555.1,1205,922
GCF_000642575.1,1205,922
GCF_000642595.1,1205,922
GCF_000642615.1,1205,922
GCF_000642635.1,1205,922
GCF_000642655.1,1205,922
GCF_000642675.1,1205,922
GCF_000642695.1,1205,922
GCF_000642715.1,1205,922
GCF_000642735.1,1205,922
GCF_000642755.1,1205,922
GCF_000642775.1,1205,922
GCF_000642795.1,1205,922
GCF_000642815.1,1205,922
GCF_000642835.1,1205,922
GCF_000642855.1,1205,922
GCF_000642875.1,1205,922
GCF_000642895.1,1205,922
GCF_000642915.1,1205,922
GCF_000642935.1,1205,922
GCF_000642955.1,1205,922
GCF_000642975.1,1205,922
GCF_000642995.1,1205,922
GCF_000643015.1,1205,922
GCF_000643035.1,1205,922
GCF_000643055.1,1205,922
GCF_000643075.1,1205,922
GCF_000643095.1,1205,922
GCF_000643115.1,1205,922
GCF_000643135.1,1205,922
GCF_000643155.1,1205,922
GCF_000643175.1,1205,922
GCF_000643195.1,1205,922
GCF_000643215.1,1205,922
GCF_000643235.1,1205,922
GCF_000643255.1,1205,922
GCF_000643275.1,1205,922
GCF_000643295.1,1205,922
GCF_000643315.1,1205,922
GCF_000643335.1,1205,922
GCF_000643355.1,1205,922
GCF_000643375.1,1205,922
GCF_000643395.1,1205,922
GCF_000643415.1,1205,922
GCF_000643435.1,1205,922
GCF_000643455.1,1205,922
GCF_000643475.1,1205,922
GCF_000643495.1,1205,922
GCF_000643515.1,1205,922
GCF_000643535.1,1205,922
GCF_000643555.1,1205,922
GCF_000643575.1,1205,922
GCF_000643595.1,1205,922
GCF_000643615.1,1205,922
GCF_000643635.1,1205,922
GCF_000643655.1,1205,922
GCF_000643675.1,1205,922
GCF_000643695.1,1205,922
GCF_000643715.1,1205,922
GCF_000643735.1,1205,922
GCF_000643755.1,1205,922
GCF_000643775.1,1205,922
GCF_000643795.1,1205,922
GCF_000643815.1,1205,922
GCF_000643835.1,1205,922
GCF_000643855.1,1205,922
GCF_000643875.1,1205,922
GCF_000643895.1,1205,922
GCF_000643915.1,1205,922
GCF_000643935.1,1205,922
GCF_000643955.1,1205,922
GCF_000643975.1,1205,922
GCF_000643995.1,1205,922
GCF_000644015.1,1205,922
GCF_000644035.1,1205,922
GCF_000644055.1,1205,922
GCF_000644075.1,1205,922
GCF_000644095.1,1205,922
GCF_000644115.1,1205,922
GCF_000644135.1,1205,922
GCF_000644155.1,1205,922
GCF_000644175.1,1205,922
GCF_000644195.1,1205,922
GCF_000644215.1,1205,922
GCF_000644235.1,1205,922
GCF_000644255.1,1205,922
GCF_000644275.1,1205,922
GCF_000644295.1,1205,922
GCF_000644315.1,1205,922
GCF_000644335.1,1205,922
GCF_000644355.1,1205,922
GCF_000644375.1,1205,922
GCF_000644395.1,1205,922
GCF_000644415.1,1205,922
GCF_000644435.1,1205,922
GCF_000644455.1,1205,922
GCF_000644475.1,1205,922
GCF_000644495.1,1205,922
GCF_000644515.1,1205,922
GCF_000644535.1,1205,922
GCF_000644555.1,1205,922
GCF_000644575.1,1205,922
GCF_000644595.1,1205,922
GCF_000644615.1,1205,922
GCF_000644635.1,1205,922
GCF_000644655.1,1205,922
GCF_000644675.1,1205,922
GCF_000644695.1,1205,922
GCF_000644715.1,1205,922
GCF_000644735.1,1205,922
GCF_000644755.1,1205,922
GCF_000644775.1,1205,922
GCF_000644795.1,1205,922
GCF_000644815.1,1205,922
GCF_000644835.1,1205,922
GCF_000644855.1,1205,922
GCF_000644875.1,1205,922
GCF_000644895.1,1205,922
GCF_000644915.1,1205,922
GCF_000644935.1,1205,922
GCF_000644955.1,1205,922
GCF_000644975.1,1205,922
GCF_000644995.1,1205,922
GCF_000645015.1,1205,922
GCF_000645035.1,1205,922
GCF_000645055.1,1205,922
GCF_000645075.1,1205,922
GCF_000645095.1,1205,922
GCF_000645115.1,1205,922
GCF_000645135.1,1205,922
GCF_000645155.1,1205,922
GCF_000645175.1,1205,922
GCF_000645195.1,1205,922
GCF_000645215.1,1205,922
GCF_000645235.1,1205,922
GCF_000645255.1,1205,922
GCF_000645275.1,1205,922
GCF_000645295.1,1205,922
GCF_000645315.1,1205,922
GCF_000645335.1,1205,922
GCF_000645355.1,1205,922
GCF_000645375.1,1205,922
GCF_000645395.1,1205,922
GCF_000645415.1,1205,922
GCF_000645435.1,1205,922
GCF_000645455.1,1205,922
GCF_000645475.1,1205,922
GCF_000645495.1,1205,922
GCF_000645515.1,1205,922
GCF_000645535.1,1205,922
GCF_000645555.1,1205,922
GCF_000645575.1,1205,922
GCF_000645595.1,1205,922
GCF_000645615.1,1205,922
GCF_000645635.1,1205,922
GCF_000645655.1,1205,922
GCF_000645675.1,1205,922
GCF_000645695.1,1205,922
GCF_000645715.1,1205,922
GCF_000645735.1,1205,922
GCF_000645755.1,1205,922
GCF_000645775.1,1205,922
GCF_000645795.1,1205,922
GCF_000645815.1,1205,922
GCF_000645835.1,1205,922
GCF_000645855.1,1205,922
GCF_000645875.1,1205,922
GCF_000645895.1,1205,922
GCF_000645915.1,1205,922
GCF_000645935.1,1205,922
GCF_000645955.1,1205,922
GCF_000645975.1,1205,922
GCF_000645995.1,1205,922
GCF_000646015.1,1205,922
GCF_000646035.1,1205,922
GCF_000646055.1,1205,922
GCF_000646075.1,1205,922
GCF_000646095.1,1205,922
GCF_000646115.1,1205,922
GCF_000646135.1,1205,922
GCF_000646155.1,1205,922
GCF_000646175.1,1205,922
GCF_000646195.1,1205,922
GCF_000646215.1,1205,922
GCF_000646235.1,1205,922
GCF_000646255.1,1205,922
GCF_000646275.1,1205,922
GCF_000646295.1,1205,922
GCF_000646315.1,1205,922
GCF_000646335.1,1205,922
GCF_000646355.1,1205,922
GCF_000646375.1,1205,922
GCF_000646395.1,1205,922
GCF_000646415.1,1205,922
GCF_000646435.1,1205,922
GCF_000646455.1,1205,922
GCF_000646475.1,1205,922
GCF_000646495.1,1205,922
GCF_000646515.1,1205,922
GCF_000646535.1,1205,922
GCF_000646555.1,1205,922
GCF_000646575.1,1205,922
GCF_000646595.1,1205,922
GCF_000646615.1,1205,922
GCF_000646635.1,1205,922
GCF_000646655.1,1205,922
GCF_000646675.1,1205,922
GCF_000646695.1,1205,922
GCF_000646715.1,1205,922
GCF_000646735.1,1205,922
GCF_000646755.1,1205,922
GCF_000646775.1,1205,922
GCF_000646795.1,1205,922
GCF_000646815.1,1205,922
GCF_000646835.1,1205,922
GCF_000646855.1,1205,922
GCF_000646875.1,1205,922
GCF_000646895.1,1205,922
GCF_000646915.1,1205,922
GCF_000646935.1,1205,922
GCF_000646955.1,1205,922
GCF_000646975.1,1205,922
GCF_000646995.1,1205,922
GCF_000647015.1,1205,922
GCF_000647035.1,1205,922
GCF_000647055.1,1205,922
GCF_000647075.1,1205,922
GCF_000647095.1,1205,922
GCF_000647115.1,1205,922
GCF_000647135.1,1205,922
GCF_000647155.1,1205,922
GCF_000647175.1,1205,922
GCF_000647195.1,1205,922
GCF_000647215.1,1205,922
GCF_000647235.1,1205,922
GCF_000647255.1,1205,922
GCF_000647275.1,1205,922
GCF_000647295.1,1205,922
GCF_000647315.1,1205,922
GCF_000647335.1,1205,922
GCF_000647355.1,1205,922
GCF_000647375.1,1205,922
GCF_000647395.1,1205,922
GCF_000647415.1,1205,922
GCF_000647435.1,1205,922
GCF_000647455.1,489,424
GCF_000647475.1,489,424
GCF_000647495.1,489,424
GCF_000647515.1,489,424
GCF_000647535.1,1306,561
GCF_000647595.1,1044,178
GCF_000647615.1,1044,178
GCF_000647635.1,1044,178
GCF_000647655.1,1044,178
GCF_000647695.1,1205,922
GCF_000647715.1,1205,922
GCF_000647735.1,1205,922
GCF_000647795.1,489,424
GCF_000647815.1,489,424
GCF_000647835.1,1201,18
GCF_000647855.2,1205,922
GCF_000647935.1,1044,178
GCF_000647955.1,71,480
GCF_000647995.1,462,1016
GCF_000648015.1,462,1016
GCF_000648035.1,462,1016
GCF_000648055.1,462,1016
GCF_000648075.1,462,1016
GCF_000648095.1,462,1016
GCF_000648115.1,462,1016
GCF_000648135.1,462,1016
GCF_000648155.1,462,1016
GCF_000648175.1,462,1016
GCF_000648195.1,462,1016
GCF_000648215.1,77,263
GCF_000648295.1,527,161
GCF_000648335.1,297,954
GCF_000648355.1,297,954
GCF_000648375.2,1153,439
GCF_000648395.1,834,1302
GCF_000648415.2,1153,439
GCF_000648435.2,1153,439
GCF_000648455.2,1153,439
GCF_000648475.2,1153,439
GCF_000648495.2,1153,439
GCF_000648615.1,1201,18
GCF_000648635.1,103,1159
GCF_000648715.1,1253,983
GCF_000648735.2,1072,184
GCF_000648755.1,684,738
GCF_000648775.1,1253,983
GCF_000648795.1,1253,983
GCF_000648815.1,1253,983
GCF_000648835.2,1253,983
GCF_000648855.1,1253,983
GCF_000648875.1,1253,983
GCF_000648895.1,1253,983
GCF_000648965.1,243,380
GCF_000648985.1,243,380
GCF_000649005.1,245,384
GCF_000649025.1,245,384
GCF_000649045.1,245,384
GCF_000649065.1,245,384
GCF_000649085.1,1214,933
GCF_000649105.1,1205,922
GCF_000649125.1,1214,933
GCF_000649145.1,245,384
GCF_000649165.1,243,380
GCF_000649185.1,243,380
GCF_000649215.1,834,1302
GCF_000649235.1,834,1302
GCF_000649255.1,834,1302
GCF_000649275.1,834,1302
GCF_000649295.1,834,1302
GCF_000649315.1,834,1302
GCF_000649335.1,834,1302
GCF_000649355.1,834,1302
GCF_000649375.1,834,1302
GCF_000649395.1,834,1302
GCF_000649415.1,834,1302
GCF_000649435.1,834,1302
GCF_000649455.1,834,1302
GCF_000649475.1,834,1302
GCF_000649495.1,834,1302
GCF_000649515.1,834,1302
GCF_000649535.1,834,1302
GCF_000649555.1,834,1302
GCF_000649575.1,834,1302
GCF_000649595.1,834,1302
GCF_000649615.1,834,1302
GCF_000649635.1,834,1302
GCF_000649655.1,809,1302
GCF_000649695.1,834,1302
GCF_000649715.1,834,1302
GCF_000649735.1,834,1302
GCF_000649755.1,834,1302
GCF_000649775.1,834,1302
GCF_000649795.1,834,1302
GCF_000649815.1,834,1302
GCF_000649835.1,834,1302
GCF_000649855.1,834,1302
GCF_000649875.1,834,1302
GCF_000649895.1,834,1302
GCF_000649915.1,834,1302
GCF_000649935.1,834,1302
GCF_000649955.1,834,1302
GCF_000649975.1,834,1302
GCF_000649995.1,834,1302
GCF_000650015.1,834,1302
GCF_000650035.1,834,1302
GCF_000650055.1,834,1302
GCF_000650075.1,834,1302
GCF_000650095.1,834,1302
GCF_000650115.1,834,1302
GCF_000650135.1,834,1302
GCF_000650155.1,834,1302
GCF_000650175.1,834,1302
GCF_000650195.1,834,1302
GCF_000650215.1,834,1302
GCF_000650235.1,834,1302
GCF_000650255.1,834,1302
GCF_000650275.1,834,1302
GCF_000650295.1,834,1302
GCF_000650315.1,834,1302
GCF_000650335.1,834,1302
GCF_000650355.1,834,1302
GCF_000650375.1,834,1302
GCF_000650395.1,834,1302
GCF_000650415.1,834,1302
GCF_000650435.1,834,1302
GCF_000650455.1,834,1302
GCF_000650475.1,834,1302
GCF_000650495.1,834,1302
GCF_000650515.1,834,1302
GCF_000650535.1,834,1302
GCF_000650555.1,834,1302
GCF_000650575.1,834,1302
GCF_000650595.1,834,1302
GCF_000650615.1,834,1302
GCF_000650635.1,834,1302
GCF_000650655.1,834,1302
GCF_000650675.1,834,1302
GCF_000650695.1,834,1302
GCF_000650715.1,834,1302
GCF_000650735.1,834,1302
GCF_000650755.1,834,1302
GCF_000650775.1,834,1302
GCF_000650795.1,834,1302
GCF_000650815.1,834,1302
GCF_000650835.1,834,1302
GCF_000650855.1,834,1302
GCF_000650875.1,834,1302
GCF_000650895.1,834,1302
GCF_000650915.1,834,1302
GCF_000650935.1,834,1302
GCF_000650955.1,834,1302
GCF_000650975.1,834,1302
GCF_000650995.1,834,1302
GCF_000651015.1,834,1302
GCF_000651035.1,834,1302
GCF_000651055.1,834,1302
GCF_000651075.1,834,1302
GCF_000651095.1,834,1302
GCF_000651115.1,834,1302
GCF_000651135.1,834,1302
GCF_000651155.1,834,1302
GCF_000651175.1,834,1302
GCF_000651195.1,834,1302
GCF_000651215.1,834,1302
GCF_000651235.1,834,1302
GCF_000651255.1,834,1302
GCF_000651275.1,834,1302
GCF_000651295.1,834,1302
GCF_000651315.1,834,1302
GCF_000651335.1,834,1302
GCF_000651355.1,834,1302
GCF_000651375.1,834,1302
GCF_000651395.1,834,1302
GCF_000651415.1,834,1302
GCF_000651435.1,834,1302
GCF_000651455.1,834,1302
GCF_000651475.1,834,1302
GCF_000651495.1,834,1302
GCF_000651515.1,834,1302
GCF_000651535.1,834,1302
GCF_000651555.1,834,1302
GCF_000651575.1,834,1302
GCF_000651595.1,834,1302
GCF_000651615.1,834,1302
GCF_000651635.1,834,1302
GCF_000651655.1,834,1302
GCF_000651675.1,834,1302
GCF_000651695.1,834,1302
GCF_000651715.1,834,1302
GCF_000651735.1,834,1302
GCF_000651755.1,834,1302
GCF_000651775.1,834,1302
GCF_000651795.1,834,1302
GCF_000651815.1,834,1302
GCF_000651835.1,834,1302
GCF_000651855.1,834,1302
GCF_000651875.1,834,1302
GCF_000651895.1,834,1302
GCF_000651915.1,834,1302
GCF_000651935.1,834,1302
GCF_000651955.1,834,1302
GCF_000651975.1,834,1302
GCF_000651995.1,834,1302
GCF_000652015.1,834,1302
GCF_000652035.1,834,1302
GCF_000652055.1,834,1302
GCF_000652075.1,834,1302
GCF_000652095.1,834,1302
GCF_000652115.1,834,1302
GCF_000652135.1,834,1302
GCF_000652155.1,834,1302
GCF_000652175.1,834,1302
GCF_000652195.1,834,1302
GCF_000652215.1,834,1302
GCF_000652235.1,834,1302
GCF_000652255.1,834,1302
GCF_000652275.1,834,1302
GCF_000652295.1,834,1302
GCF_000652315.1,834,1302
GCF_000652335.1,834,1302
GCF_000652355.1,834,1302
GCF_000652375.1,834,1302
GCF_000652395.1,834,1302
GCF_000652415.1,834,1302
GCF_000652435.1,834,1302
GCF_000652455.1,834,1302
GCF_000652475.1,834,1302
GCF_000652495.1,834,1302
GCF_000652515.1,834,1302
GCF_000652535.1,834,1302
GCF_000652555.1,834,1302
GCF_000652575.1,834,1302
GCF_000652595.1,834,1302
GCF_000652615.1,834,1302
GCF_000652635.1,834,1302
GCF_000652655.1,834,1302
GCF_000652675.1,834,1302
GCF_000652695.1,834,1302
GCF_000652715.1,834,1302
GCF_000652735.1,834,1302
GCF_000652755.1,834,1302
GCF_000652775.1,834,1302
GCF_000652795.1,834,1302
GCF_000652815.1,834,1302
GCF_000652835.1,834,1302
GCF_000652855.1,834,1302
GCF_000652875.1,834,1302
GCF_000652895.1,834,1302
GCF_000652915.1,834,1302
GCF_000652935.1,834,1302
GCF_000652955.1,834,1302
GCF_000652975.1,834,1302
GCF_000652995.1,834,1302
GCF_000653015.1,834,1302
GCF_000653035.1,834,1302
GCF_000653055.1,834,1302
GCF_000653075.1,834,1302
GCF_000653095.1,834,1302
GCF_000653115.1,834,1302
GCF_000653135.1,834,1302
GCF_000653155.1,834,1302
GCF_000653175.1,834,1302
GCF_000653195.1,834,1302
GCF_000653215.1,834,1302
GCF_000653235.1,834,1302
GCF_000653255.1,834,1302
GCF_000653275.1,834,1302
GCF_000653295.1,834,1302
GCF_000653315.1,834,1302
GCF_000653335.1,834,1302
GCF_000653355.1,834,1302
GCF_000653375.1,834,1302
GCF_000653395.1,834,1302
GCF_000653415.1,834,1302
GCF_000653435.1,834,1302
GCF_000653455.1,834,1302
GCF_000653475.1,834,1302
GCF_000653495.1,834,1302
GCF_000653515.1,834,1302
GCF_000653535.1,834,1302
GCF_000653555.1,834,1302
