accession,species_v11_idx1,species_v12_idx1
GCF_000012665.1,418,703
GCF_000012685.1,864,20
GCF_000012705.1,1229,980
GCF_000012765.1,840,24
GCF_000012785.1,297,954
GCF_000012805.1,876,881
GCF_000012825.1,181,255
GCF_000012845.1,926,371
GCF_000012905.2,1094,814
GCF_000012925.1,530,1187
GCF_000013045.1,1147,1148
GCF_000013065.1,127,1055
GCF_000013085.1,1104,826
GCF_000013105.1,800,905
GCF_000013125.1,98,575
GCF_000013145.1,439,722
GCF_000013245.1,564,127
GCF_000013265.1,489,424
GCF_000013285.1,362,1130
GCF_000013305.1,489,424
GCF_000013425.1,1205,922
GCF_000013465.1,1205,922
GCF_000013485.1,1253,983
GCF_000013505.1,1253,983
GCF_000013525.1,1253,983
GCF_000013545.1,1253,983
GCF_000013585.1,1174,452
GCF_000013645.1,937,1319
GCF_000013785.1,1071,183
GCF_000013805.1,1431,463
GCF_000013825.1,1431,463
GCF_000013945.1,732,98
GCF_000013965.1,732,98
GCF_000014025.1,102,1158
GCF_000014085.1,286,960
GCF_000014105.1,869,359
GCF_000014125.1,360,1136
GCF_000014205.1,1256,976
GCF_000014285.1,544,1413
GCF_000014345.1,1111,599
GCF_000014365.1,1250,982
GCF_000014385.1,897,868
GCF_000014405.1,632,1164
GCF_000014445.1,748,899
GCF_000014465.1,621,766
GCF_000014485.1,1259,978
GCF_000014505.1,954,907
GCF_000014525.1,677,818
GCF_000014545.1,710,1036
GCF_000014605.1,510,165
GCF_000014625.1,1044,178
GCF_000014645.1,510,165
GCF_000014705.1,1170,16
GCF_000014805.1,68,479
GCF_000014845.1,489,424
GCF_000014985.1,808,1298
GCF_000015005.1,832,845
GCF_000015085.1,312,115
GCF_000015105.1,1141,1207
GCF_000015325.1,16,459
GCF_000015345.1,423,702
GCF_000015365.1,775,538
GCF_000015385.1,650,1165
GCF_000015445.1,183,581
GCF_000015465.1,294,959
GCF_000015485.1,421,705
GCF_000015525.1,315,116
GCF_000015605.1,294,959
GCF_000015625.1,294,959
GCF_000015685.1,1020,876
GCF_000015705.1,1020,876
GCF_000015745.1,526,219
GCF_000015785.1,120,1053
GCF_000015845.1,1169,14
GCF_000015865.1,1137,536
GCF_000015885.1,47,551
GCF_000015905.1,297,954
GCF_000015925.1,297,954
GCF_000015985.1,1094,814
GCF_000016045.1,1153,439
GCF_000016105.1,510,165
GCF_000016145.1,834,1302
GCF_000016205.1,303,950
GCF_000016245.1,1368,503
GCF_000016305.1,590,431
GCF_000016365.1,814,849
GCF_000016425.1,1150,571
GCF_000016445.1,1431,463
GCF_000016465.1,549,554
GCF_000016505.1,359,1135
GCF_000016585.1,1171,13
GCF_000016685.1,47,551
GCF_000016705.1,411,1432
GCF_000016765.1,1195,1086
GCF_000016805.1,1205,922
GCF_000016825.1,687,230
GCF_000016845.1,281,147
GCF_000016865.1,1069,182
GCF_000016925.1,834,1302
GCF_000016945.1,1432,465
GCF_000016965.1,354,1133
GCF_000017005.1,1238,973
GCF_000017025.1,355,1127
GCF_000017045.1,355,1127
GCF_000017065.1,355,1127
GCF_000017085.1,1205,922
GCF_000017105.1,397,592
GCF_000017125.1,1205,922
GCF_000017145.1,1180,1124
GCF_000017325.1,1169,14
GCF_000017405.1,894,390
GCF_000017425.1,132,1078
GCF_000017445.4,1119,596
GCF_000017465.1,311,118
GCF_000017485.1,315,116
GCF_000017605.1,731,96
GCF_000017665.1,403,1353
GCF_000017685.1,731,96
GCF_000017705.1,1367,509
GCF_000017725.1,310,117
GCF_000017745.1,489,424
GCF_000017765.1,489,424
GCF_000017785.1,510,165
GCF_000017825.1,1346,88
GCF_000017905.1,315,116
GCF_000017985.1,489,424
GCF_000018045.1,348,402
GCF_000018065.1,1020,876
GCF_000018125.1,1253,983
GCF_000018185.1,1258,977
GCF_000018225.1,1119,596
GCF_000018245.1,1110,601
GCF_000018265.1,1148,570
GCF_000018345.1,823,1303
GCF_000018385.1,1153,439
GCF_000018445.1,18,329
GCF_000018505.1,295,962
GCF_000018525.1,277,148
GCF_000018625.1,1153,439
GCF_000018705.1,1153,439
GCF_000018725.1,276,146
GCF_000018745.1,397,592
GCF_000018765.1,1169,14
GCF_000018805.1,1431,463
GCF_000018845.1,786,804
GCF_000018905.1,283,152
GCF_000018925.1,510,165
GCF_000018945.1,1337,214
GCF_000018965.1,1250,982
GCF_000018985.1,1250,982
GCF_000019005.1,1250,982
GCF_000019025.1,1250,982
GCF_000019265.1,1250,982
GCF_000019285.1,509,166
GCF_000019305.1,355,1127
GCF_000019325.1,1421,228
GCF_000019345.1,1354,56
GCF_000019385.1,489,424
GCF_000019405.1,571,1414
GCF_000019425.1,489,424
GCF_000019465.1,1432,465
GCF_000019585.2,1413,244
GCF_000019645.1,489,424
GCF_000019685.1,251,76
GCF_000019725.1,788,286
GCF_000019765.1,1421,228
GCF_000019825.1,1250,982
GCF_000019865.1,397,592
GCF_000019885.1,397,592
GCF_000019985.1,1250,982
GCF_000020085.1,1432,465
GCF_000020105.1,867,357
GCF_000020185.1,1172,450
GCF_000020225.1,78,226
GCF_000020245.1,564,127
GCF_000020265.1,1088,276
GCF_000020285.1,355,1127
GCF_000020305.1,97,574
GCF_000020345.1,355,1127
GCF_000020405.1,47,551
GCF_000020425.1,220,1241
GCF_000020585.3,87,143
GCF_000020665.1,1226,1095
GCF_000020705.1,1153,439
GCF_000020745.1,1153,439
GCF_000020765.1,1235,988
GCF_000020825.1,13,863
GCF_000020845.1,82,1287
GCF_000020885.1,1153,439
GCF_000020925.1,1153,439
GCF_000021005.1,1094,814
GCF_000021025.1,711,392
GCF_000021045.1,118,262
GCF_000021065.1,284,1121
GCF_000021085.1,284,1121
GCF_000021125.1,489,424
GCF_000021145.1,18,329
GCF_000021165.1,564,127
GCF_000021185.1,758,1201
GCF_000021205.1,127,1055
GCF_000021225.1,127,1055
GCF_000021245.1,18,329
GCF_000021265.1,1355,55
GCF_000021285.1,1335,264
GCF_000021305.1,127,1055
GCF_000021325.1,533,1149
GCF_000021345.1,1089,274
GCF_000021365.1,899,880
GCF_000021405.1,256,1089
GCF_000021425.1,203,1239
GCF_000021445.1,121,1054
GCF_000021465.1,564,127
GCF_000021485.1,13,863
GCF_000021605.1,1368,503
GCF_000021625.1,1368,503
GCF_000021665.1,1169,14
GCF_000021705.1,556,1254
GCF_000021785.1,127,1055
GCF_000021845.1,786,804
GCF_000021865.1,1093,813
GCF_000021885.1,547,730
GCF_000021925.1,415,1430
GCF_000022005.1,329,52
GCF_000022105.1,259,699
GCF_000022165.1,1153,439
GCF_000022225.1,489,424
GCF_000022245.1,1174,452
GCF_000022345.1,489,424
GCF_000022505.1,127,1055
GCF_000022585.1,1368,503
GCF_000022625.1,279,150
GCF_000022645.2,292,948
GCF_000022665.1,489,424
GCF_000022685.1,786,804
GCF_000022705.1,203,1239
GCF_000022725.1,189,579
GCF_000022765.1,355,1127
GCF_000022785.1,1117,595
GCF_000022805.1,1431,463
GCF_000022825.1,1431,463
GCF_000022845.1,1431,463
GCF_000022865.1,121,1054
GCF_000022885.2,435,476
GCF_000022905.1,374,1275
GCF_000022925.1,758,1201
GCF_000022965.1,203,1239
GCF_000022985.1,76,858
GCF_000023025.1,1319,273
GCF_000023085.1,684,738
GCF_000023165.1,854,30
GCF_000023185.1,1089,274
GCF_000023205.1,794,914
GCF_000023285.1,322,745
GCF_000023305.1,510,165
GCF_000023345.1,1357,1006
GCF_000023365.1,489,424
GCF_000023625.1,834,1302
GCF_000023665.1,489,424
GCF_000023685.1,854,30
GCF_000023765.2,751,901
GCF_000023805.1,564,127
GCF_000023825.1,955,442
GCF_000023865.1,1144,1359
GCF_000024145.1,336,619
GCF_000024245.1,1438,398
GCF_000024265.1,437,78
GCF_000024425.1,778,10
GCF_000024445.1,215,1231
GCF_000024485.1,1346,88
GCF_000024585.1,1205,922
GCF_000024645.1,950,1115
GCF_000024665.1,497,649
GCF_000024845.1,1105,707
GCF_000024865.1,1304,1423
