genus,species,ngenomes,migration_dst_idxs1,migration_ndropped,migration_single_dst,migration_1to1,migration_identical
Bacillus,coahuilensis,3,1080,0,True,True,True
Bacillus,cytotoxicus,2,1078,0,True,True,True
Bacillus,endophyticus,3,1074,0,True,True,True
Bacillus,firmus,3,399,0,True,True,True
Bacillus,gaemokensis,2,1049,0,True,True,True
Bacillus,ginsengihumi,2,1072,0,True,True,True
Bacillus,glycinifermentans,2,1051,0,True,True,True
Bacillus,hemicellulosilyticus,2,409,0,True,True,True
Bacillus,licheniformis,18,1058,0,True,True,True
Bacillus,marisflavi,4,1050,0,True,True,True
Bacillus,megaterium,9,1059,0,True,True,True
Bacillus,methanolicus,2,1067,0,True,True,True
Bacillus,mojavensis,3,1079,0,True,True,True
Bacillus,mycoides,9,1060,0,True,False,False
Bacillus,nakamurai,2,1081,0,True,True,True
Bacillus,paralicheniformis,6,1069,0,True,True,True
Bacillus,pumilus,22,1061,0,True,True,True
Bacillus,safensis,4,1075,0,True,True,True
Bacillus,siamensis,2,1073,0,True,True,True
Bacillus,smithii,3,1068,0,True,True,True
Bacillus,sonorensis,3,1076,0,True,True,True
Bacillus,subtilis,75,1062,0,True,True,True
Bacillus,thermoamylovorans,5,1071,0,True,True,True
Bacillus,thuringiensis,19,1063,0,True,True,True
Bacillus,trypoxylicola,2,408,0,True,True,True
Bacillus,velezensis,16,1052,0,True,True,True
Bacillus,vietnamensis,2,1077,0,True,True,True
Bacillus,vireti,2,417,0,True,True,True
Bacillus,wakoensis,2,410,0,True,True,True
Bacillus,weihenstephanensis,3,1060,0,True,False,False
Bacteroides,barnesiae,2,259,0,True,True,True
Bacteroides,caccae,2,638,0,True,True,True
Bacteroides,cellulosilyticus,5,628,0,True,True,True
Bacteroides,coprophilus,4,256,0,True,True,True
Bacteroides,dorei,5,257,0,True,True,True
Bacteroides,eggerthii,3,633,0,True,True,True
Bacteroides,finegoldii,2,630,0,True,True,True
Bacteroides,fragilis,99,625,0,True,True,True
Bacteroides,gallinarum,2,641,0,True,True,True
Bacteroides,graminisolvens,2,631,0,True,True,True
Bacteroides,intestinalis,2,629,0,True,True,True
Bacteroides,massiliensis,3,258,0,True,True,True
Bacteroides,nordii,2,636,0,True,True,True
Bacteroides,ovatus,11,634,0,True,True,True
Bacteroides,propionicifaciens,2,640,0,True,True,True
Bacteroides,pyogenes,5,639,0,True,True,True
Bacteroides,salyersiae,3,635,0,True,True,True
Bacteroides,stercoris,3,637,0,True,True,True
Bacteroides,thetaiotaomicron,6,626,0,True,True,True
Bacteroides,uniformis,9,627,0,True,True,True
Bacteroides,vulgatus,8,255,0,True,True,True
Bacteroides,xylanisolvens,4,632,0,True,True,True
Bartonella,bacilliformis,15,581,0,True,True,True
Bartonella,birtlesii,5,586,0,True,True,True
Bartonella,bovis,2,590,0,True,True,True
Bartonella,clarridgeiae,2,589,0,True,True,True
Bartonella,doshiae,2,578,0,True,True,True
Bartonella,elizabethae,3,583,0,True,True,True
Bartonella,grahamii,2,579,0,True,True,True
Bartonella,henselae,11,587,0,True,True,True
Bartonella,quintana,14,582,0,True,True,True
Bartonella,rattimassiliensis,2,591,0,True,True,True
Bartonella,tamiae,2,585,0,True,True,True
Bartonella,tribocorum,2,584,0,True,True,True
Bartonella,vinsonii,5,580,0,True,True,True
Bartonella,washoensis,2,588,0,True,True,True
Bellilinea,caldifistulae,2,645,0,True,True,True
Bergeyella,zoohelcum,2,254,0,True,True,True
Bibersteinia,trehalosi,4,1083,0,True,True,True
Bifidobacterium,actinocoloniiforme,3,1253,0,True,True,True
Bifidobacterium,adolescentis,8,1224,0,True,True,True
Bifidobacterium,angulatum,5,1226,0,True,True,True
Bifidobacterium,animalis,28,1239,0,True,True,True
Bifidobacterium,biavatii,2,1220,0,True,True,True
Bifidobacterium,bifidum,24,1225,0,True,True,True
Bifidobacterium,bohemicum,2,1252,0,True,True,True
Bifidobacterium,bombi,2,1244,0,True,True,True
Bifidobacterium,boum,3,1247,0,True,True,True
Bifidobacterium,breve,30,1227,0,True,True,True
Bifidobacterium,callitrichos,2,1218,0,True,True,True
Bifidobacterium,catenulatum,4,1228,0,True,False,False
Bifidobacterium,choerinum,3,1237,0,True,True,True
Bifidobacterium,coryneforme,2,1229,0,True,True,True
Bifidobacterium,cuniculi,2,1230,0,True,True,True
Bifidobacterium,dentium,6,1231,0,True,True,True
Bifidobacterium,gallicum,3,1246,0,True,True,True
Bifidobacterium,gallinarum,2,1248,0,True,True,True
Bifidobacterium,indicum,2,1232,0,True,True,True
Bifidobacterium,kashiwanohense,3,1228,0,True,False,False
Bifidobacterium,longum,55,1241,0,True,True,True
Bifidobacterium,magnum,3,1233,0,True,True,True
Bifidobacterium,merycicum,2,1249,0,True,True,True
Bifidobacterium,minimum,3,1234,0,True,True,True
Bifidobacterium,mongoliense,2,1236,0,True,True,True
Bifidobacterium,pseudocatenulatum,5,1240,0,True,True,True
Bifidobacterium,pseudolongum,7,1235,0,True,True,True
Bifidobacterium,psychraerophilum,2,1251,0,True,True,True
Bifidobacterium,reuteri,2,1221,0,True,True,True
Bifidobacterium,ruminantium,3,1250,0,True,True,True
Bifidobacterium,saeculare,2,1243,0,True,True,True
Bifidobacterium,saguini,2,1219,0,True,True,True
Bifidobacterium,scardovii,4,1238,0,True,True,True
Bifidobacterium,subtile,3,1242,0,True,True,True
Bifidobacterium,thermacidophilum,3,1222,0,True,True,True
Bifidobacterium,thermophilum,3,1223,0,True,True,True
Bifidobacterium,tsurumiense,3,1245,0,True,True,True
Bilophila,wadsworthia,2,744,0,True,True,True
Blastochloris,viridis,3,1417,0,True,True,True
Blautia,[Ruminococcus] gnavus,3,1312,0,True,True,True
Blautia,producta,2,835,0,True,True,True
Blautia,wexlerae,2,836,0,True,True,True
Bordetella,avium,2,382,0,True,True,True
Bordetella,bronchiseptica,63,380,0,True,True,True
Bordetella,hinzii,10,386,0,True,True,True
Bordetella,holmesii,20,384,0,True,True,True
Bordetella,pertussis,327,381,0,True,True,True
Bordetella,pseudohinzii,3,385,0,True,True,True
Bordetella,trematum,3,383,0,True,True,True
Borrelia,coriaceae,2,73,0,True,True,True
Borrelia,crocidurae,3,74,0,True,True,True
Borrelia,duttonii,2,76,0,True,True,True
Borrelia,hermsii,6,71,0,True,True,True
Borrelia,miyamotoi,3,75,0,True,True,True
Borrelia,parkeri,2,72,0,True,True,True
Borreliella,afzelii,6,1091,0,True,True,True
Borreliella,burgdorferi,29,1089,0,True,True,True
Borreliella,garinii,22,1092,0,True,True,True
Borreliella,valaisiana,2,1090,0,True,True,True
Brachyspira,hyodysenteriae,21,699,0,True,True,True
Brachyspira,pilosicoli,4,700,0,True,True,True
Bradyrhizobium,diazoefficiens,4,270,0,True,True,True
Bradyrhizobium,elkanii,7,271,0,True,True,True
Bradyrhizobium,japonicum,15,266,0,True,True,True
Bradyrhizobium,liaoningense,2,269,0,True,True,True
Bradyrhizobium,valentinum,2,268,0,True,True,True
Bradyrhizobium,yuanmingense,4,267,0,True,True,True
Brevibacillus,agri,2,1346,0,True,True,True
Brevibacillus,borstelensis,4,1347,0,True,True,True
Brevibacillus,brevis,2,1344,0,True,True,True
Brevibacillus,laterosporus,4,1345,0,True,True,True
Brevibacillus,thermoruber,2,1343,0,True,True,True
Brevibacterium,casei,2,1256,0,True,True,True
Brevibacterium,linens,2,1257,0,True,True,True
Brevundimonas,diminuta,2,223,0,True,True,True
Brochothrix,thermosphacta,2,550,0,True,True,True
Brucella,abortus,158,146,0,True,True,True
Brucella,canis,14,148,0,True,True,True
Brucella,ceti,5,154,0,True,True,True
Brucella,melitensis,66,150,0,True,True,True
Brucella,neotomae,2,151,0,True,True,True
Brucella,ovis,16,147,0,True,True,True
Brucella,pinnipedialis,5,153,0,True,True,True
Brucella,suis,44,152,0,True,True,True
Buchnera,aphidicola,12,1121,0,True,True,True
Burkholderia,anthina,8,965,0,True,True,True
Burkholderia,cenocepacia,20,960,0,True,True,True
Burkholderia,cepacia,65,947,0,True,True,True
Burkholderia,contaminans,3,958,0,True,True,True
Burkholderia,diffusa,11,961,0,True,True,True
Burkholderia,dolosa,3,957,0,True,True,True
Burkholderia,gladioli,9,953,0,True,True,True
Burkholderia,glumae,6,948,0,True,True,True
Burkholderia,lata,2,964,0,True,True,True
Burkholderia,mallei,46,959,0,True,True,True
Burkholderia,multivorans,17,962,0,True,True,True
Burkholderia,oklahomensis,6,963,0,True,True,True
Burkholderia,pseudomallei,392,954,0,True,True,True
Burkholderia,pseudomultivorans,9,952,0,True,True,True
Burkholderia,stagnalis,63,955,0,True,True,True
Burkholderia,territorii,31,956,0,True,True,True
Burkholderia,thailandensis,22,949,0,True,True,True
Burkholderia,ubonensis,252,951,0,True,True,True
Burkholderia,vietnamiensis,36,950,0,True,True,True
Butyrivibrio,fibrisolvens,6,647,0,True,True,True
Butyrivibrio,proteoclasticus,2,648,0,True,True,True
Caballeronia,Paraburkholderia zhejiangensis,2,278,0,True,True,True
Caldanaerobacter,subterraneus,3,1286,0,True,True,True
Caldibacillus,debilis,2,281,0,True,True,True
Campylobacter,coli,257,114,0,True,True,True
Campylobacter,concisus,7,117,0,True,True,True
Campylobacter,curvus,2,118,0,True,True,True
Campylobacter,fetus,27,115,0,True,True,True
Campylobacter,gracilis,2,120,0,True,True,True
Campylobacter,iguaniorum,2,123,0,True,True,True
Campylobacter,jejuni,628,116,0,True,True,True
Campylobacter,lari,4,119,0,True,True,True
Campylobacter,subantarcticus,2,122,0,True,True,True
Campylobacter,upsaliensis,3,121,0,True,True,True
Capnocytophaga,canimorsus,4,746,0,True,True,True
Capnocytophaga,canis,3,748,0,True,True,True
Capnocytophaga,cynodegmi,4,747,0,True,True,True
Capnocytophaga,ochracea,4,745,0,True,True,True
Carnobacterium,divergens,2,543,0,True,True,True
Carnobacterium,inhibens,2,542,0,True,True,True
Carnobacterium,jeotgali,2,545,0,True,True,True
Carnobacterium,maltaromaticum,6,544,0,True,True,True
Catabacter,hongkongensis,2,93,0,True,True,True
Caulobacter,henricii,2,53,0,True,True,True
Caulobacter,vibrioides,2,52,0,True,True,True
Cellulophaga,baltica,4,1371,0,True,True,True
Cellulophaga,lytica,2,1370,0,True,True,True
Chania,multitudinisentens,2,225,0,True,True,True
Chlamydia,abortus,3,618,0,True,True,True
Chlamydia,muridarum,15,620,0,True,True,True
Chlamydia,pecorum,12,621,0,True,True,True
Chlamydia,pneumoniae,10,619,0,True,True,True
Chlamydia,psittaci,48,617,0,True,True,True
Chlamydia,trachomatis,115,616,0,True,True,True
Chlorogloeopsis,fritschii,2,837,0,True,True,True
Chromobacterium,haemolyticum,2,394,0,True,True,True
Chromobacterium,subtsugae,4,396,0,True,True,True
Chromobacterium,vaccinii,2,395,0,True,True,True
Chromobacterium,violaceum,7,393,0,True,True,True
Chryseobacterium,oranimense,2,253,0,True,True,True
Citrobacter,amalonaticus,2,405,0,True,True,True
Citrobacter,braakii,4,401,0,True,True,True
Citrobacter,freundii,44,403,0,True,True,True
Citrobacter,koseri,7,402,0,True,True,True
Citrobacter,rodentium,3,404,0,True,True,True
Clostridium,aceticum,2,1138,0,True,True,True
Clostridium,acetobutylicum,4,1126,0,True,True,True
Clostridium,autoethanogenum,3,1139,0,True,True,True
Clostridium,baratii,3,1137,0,True,True,True
Clostridium,beijerinckii,4,1133,0,True,True,True
Clostridium,botulinum,116,1127,0,True,True,True
Clostridium,butyricum,12,1128,0,True,True,True
Clostridium,carboxidivorans,3,1142,0,True,True,True
Clostridium,haemolyticum,2,1140,0,True,True,True
Clostridium,kluyveri,2,1135,0,True,True,True
Clostridium,novyi,6,1136,0,True,True,True
Clostridium,pasteurianum,4,1129,0,True,True,True
Clostridium,perfringens,17,1130,0,True,True,True
Clostridium,saccharoperbutylacetonicum,2,1141,0,True,True,True
Clostridium,sporogenes,13,1131,0,True,True,True
Clostridium,tetani,10,1132,0,True,True,True
Clostridium,tyrobutyricum,8,1134,0,True,True,True
Clostridium,ventriculi,2,1125,0,True,True,True
Collimonas,arenae,2,84,0,True,True,True
Collimonas,pratensis,2,85,0,True,True,True
Comamonas,aquatica,3,176,0,True,True,True
Comamonas,testosteroni,17,175,0,True,True,True
Corynebacterium,accolens,2,1276,0,True,True,True
Corynebacterium,argentoratense,3,1265,0,True,True,True
Corynebacterium,aurimucosum,6,1275,0,True,True,True
Corynebacterium,callunae,2,1263,0,True,True,True
Corynebacterium,camporealensis,2,1281,0,True,True,True
Corynebacterium,casei,2,1271,0,True,True,True
Corynebacterium,diphtheriae,24,1260,0,True,True,True
Corynebacterium,doosanense,2,1283,0,True,True,True
Corynebacterium,efficiens,2,1274,0,True,True,True
Corynebacterium,glucuronolyticum,2,1282,0,True,True,True
Corynebacterium,glutamicum,17,1261,0,True,True,True
Corynebacterium,halotolerans,2,1270,0,True,True,True
Corynebacterium,humireducens,2,1268,0,True,True,True
Corynebacterium,jeikeium,19,1277,0,True,True,True
Corynebacterium,kroppenstedtii,3,1280,0,True,True,True
Corynebacterium,matruchotii,2,1266,0,True,True,True
Corynebacterium,minutissimum,2,1278,0,True,True,True
Corynebacterium,pilosum,2,1269,0,True,True,True
Corynebacterium,pseudodiphtheriticum,2,1273,0,True,True,True
Corynebacterium,pseudotuberculosis,35,1262,0,True,True,True
Corynebacterium,simulans,3,1284,0,True,True,True
Corynebacterium,ulcerans,14,1285,0,True,True,True
Corynebacterium,urealyticum,2,1267,0,True,True,True
Corynebacterium,vitaeruminis,2,1279,0,True,True,True
Corynebacterium,xerosis,2,1264,0,True,True,True
Coxiella,burnetii,25,592,0,True,True,True
Crocosphaera,watsonii,6,1040,0,True,True,True
Cronobacter,condimenti,2,1351,0,True,True,True
Cronobacter,dublinensis,6,1354,0,True,True,True
Cronobacter,malonaticus,11,1357,0,True,True,True
Cronobacter,muytjensii,2,1355,0,True,True,True
Cronobacter,sakazakii,45,1353,0,True,True,True
Cronobacter,turicensis,4,1356,0,True,True,True
Cronobacter,universalis,3,1352,0,True,True,True
Cupriavidus,metallidurans,7,66,0,True,True,True
Cupriavidus,necator,3,64,0,True,True,True
Cupriavidus,taiwanensis,2,65,0,True,True,True
Curtobacterium,flaccumfaciens,2,1427,0,True,True,True
Curtobacterium,oceanosedimentum,2,1428,0,True,True,True
Dehalococcoides,mccartyi,17,1432,0,True,True,True
Deinococcus,radiodurans,3,969,0,True,True,True
Deinococcus,wulumuqiensis,2,970,0,True,True,True
Dermabacter,hominis,2,1415,0,True,True,True
Desulfitobacterium,hafniense,6,1430,0,True,True,True
Desulfotomaculum,nigrificans,2,1155,0,True,True,True
Desulfovibrio,africanus,3,218,0,True,True,True
Desulfovibrio,alaskensis,2,703,0,True,True,True
Desulfovibrio,gigas,2,704,0,True,True,True
Desulfovibrio,hydrothermalis,2,706,0,True,True,True
Desulfovibrio,vulgaris,3,705,0,True,True,True
Dialister,micraerophilus,2,762,0,True,True,True
Dichelobacter,nodosus,2,702,0,True,True,True
Dickeya,chrysanthemi,4,942,0,True,True,True
Dickeya,dadantii,4,943,0,True,True,True
Dickeya,dianthicola,5,944,0,True,True,True
Dickeya,solani,11,946,0,True,True,True
Dickeya,zeae,10,945,0,True,True,True
Dietzia,cinnamea,2,803,0,True,True,True
Dolichospermum,circinale,2,900,0,True,True,True
Dorea,formicigenerans,2,717,0,True,True,True
Dyella,japonica,2,19,0,True,True,True
Dysgonomonas,mossii,2,1008,0,True,True,True
Edwardsiella,anguillarum,4,477,0,True,True,True
Edwardsiella,ictaluri,3,476,0,True,True,True
Edwardsiella,tarda,5,475,0,True,True,True
Eggerthella,lenta,2,78,0,True,True,True
Eggerthia,catenaformis,2,1106,0,True,True,True
Ehrlichia,chaffeensis,9,722,0,True,True,True
Ehrlichia,muris,2,723,0,True,True,True
Ehrlichia,ruminantium,4,721,0,True,True,True
Eikenella,corrodens,2,397,0,True,True,True
Elizabethkingia,anophelis,20,1216,0,True,True,True
Elizabethkingia,meningoseptica,3,1215,0,True,True,True
Endozoicomonas,elysicola,2,564,0,True,True,True
Endozoicomonas,montiporae,2,565,0,True,True,True
Enhydrobacter,aerosaccus,2,1350,0,True,True,True
Enterobacter,asburiae,31,415,0,True,True,True
Enterobacter,cancerogenus,5,414,0,True,True,True
Enterobacter,cloacae,98,412,0,True,True,True
Enterobacter,hormaechei,192,413,0,True,False,False
Enterobacter,ludwigii,2,416,0,True,True,True
Enterobacter,xiangfangensis,10,413,0,True,False,False
Enterococcus,asini,2,1013,0,True,True,True
Enterococcus,avium,2,1015,0,True,True,True
Enterococcus,caccae,2,1032,0,True,True,True
Enterococcus,casseliflavus,9,1028,0,True,True,True
Enterococcus,cecorum,11,1022,0,True,True,True
Enterococcus,columbae,3,1020,0,True,True,True
Enterococcus,dispar,2,1023,0,True,True,True
Enterococcus,durans,6,1024,0,True,True,True
Enterococcus,faecalis,433,1016,0,True,True,True
Enterococcus,faecium,412,1017,0,True,True,True
Enterococcus,gallinarum,5,1018,0,True,True,True
Enterococcus,gilvus,2,1026,0,True,True,True
Enterococcus,haemoperoxidus,2,1035,0,True,True,True
Enterococcus,hirae,6,1019,0,True,True,True
Enterococcus,malodoratus,2,1029,0,True,True,True
Enterococcus,moraviensis,2,1034,0,True,True,True
Enterococcus,mundtii,5,1025,0,True,True,True
Enterococcus,pallens,2,1027,0,True,True,True
Enterococcus,phoeniculicola,2,1033,0,True,True,True
Enterococcus,raffinosus,3,1030,0,True,True,True
Enterococcus,saccharolyticus,2,1014,0,True,True,True
Enterococcus,sulfureus,2,1021,0,True,True,True
Enterococcus,villorum,2,1031,0,True,True,True
Enterovibrio,calviensis,3,1310,0,True,True,True
Enterovibrio,norvegicus,3,1311,0,True,True,True
Eremococcus,coleocola,2,1097,0,True,True,True
Erwinia,amylovora,14,420,0,True,True,True
Erwinia,billingiae,2,421,0,True,True,True
Erwinia,iniecta,2,422,0,True,True,True
Erwinia,pyrifoliae,2,423,0,True,True,True
Erwinia,tracheiphila,2,419,0,True,True,True
Erysipelatoclostridium,[Clostridium] innocuum,2,280,0,True,True,True
Erysipelothrix,rhusiopathiae,4,1208,0,True,True,True
Erythrobacter,marinus,2,802,0,True,True,True
Escherichia,albertii,32,426,0,True,True,True
Escherichia,coli,4221,424,0,True,True,True
Escherichia,fergusonii,6,425,0,True,True,True
Exiguobacterium,antarcticum,2,878,0,True,True,True
Exiguobacterium,pavilionensis,2,877,0,True,True,True
Exiguobacterium,undae,2,879,0,True,True,True
Facklamia,hominis,2,966,0,True,True,True
Faecalitalea,cylindroides,2,531,0,True,True,True
Ferrimicrobium,acidiphilum,2,124,0,True,True,True
Fibrobacter,succinogenes,2,649,0,True,True,True
Filomicrobium,marinum,2,164,0,True,True,True
Finegoldia,magna,6,387,0,True,True,True
Flavobacterium,cauense,2,156,0,True,True,True
Flavobacterium,enshiense,2,157,0,True,True,True
Flavobacterium,psychrophilum,23,158,0,True,True,True
Flavobacterium,rivuli,2,159,0,True,True,True
Flavobacterium,subsaxonicum,2,155,0,True,True,True
Flavobacterium,suncheonense,2,160,0,True,True,True
Flavonifractor,plautii,2,47,0,True,True,True
Fluoribacter,dumoffii,3,322,0,True,True,True
Francisella,noatunensis,6,167,0,True,True,True
Francisella,philomiragia,8,166,0,True,True,True
Francisella,tularensis,95,165,0,True,True,True
Franconibacter,helveticus,4,493,0,True,True,True
Franconibacter,pulveris,4,492,0,True,True,True
Fructobacillus,fructosus,3,51,0,True,True,True
Fulvimarina,pelagi,2,292,0,True,True,True
Fusobacterium,gonidiaformans,2,694,0,True,True,True
Fusobacterium,hwasookii,8,698,0,True,True,True
Fusobacterium,necrophorum,29,696,0,True,True,True
Fusobacterium,nucleatum,34,695,0,True,True,True
Fusobacterium,ulcerans,2,697,0,True,True,True
Gallibacterium,anatis,22,1412,0,True,True,True
Gardnerella,vaginalis,42,491,0,True,True,True
Gemella,sanguinis,2,1047,0,True,True,True
Geobacillus,caldoxylosilyticus,3,163,0,True,True,True
Geobacillus,kaustophilus,2,222,0,True,True,True
Geobacillus,stearothermophilus,10,221,0,True,True,True
Geobacillus,thermodenitrificans,2,219,0,True,True,True
Geobacillus,thermoglucosidasius,5,161,0,True,True,True
Geobacillus,thermoleovorans,3,220,0,True,True,True
Geobacillus,toebii,2,162,0,True,True,True
Geobacter,metallireducens,2,1187,0,True,True,True
Geobacter,sulfurreducens,3,1186,0,True,True,True
Glaciecola,pallidula,2,1010,0,True,True,True
Gluconacetobacter,diazotrophicus,2,1149,0,True,True,True
Gluconobacter,albidus,2,309,0,True,True,True
Gluconobacter,oxydans,8,307,0,True,True,True
Gluconobacter,thailandicus,4,308,0,True,True,True
Glycomyces,tenuis,2,576,0,True,True,True
Gordonia,alkanivorans,3,6,0,True,True,True
Gordonia,amicalis,2,9,0,True,True,True
Gordonia,hirsuta,2,8,0,True,True,True
Gordonia,polyisoprenivorans,3,7,0,True,True,True
Gordonia,sihwensis,2,4,0,True,True,True
Gordonia,terrae,2,5,0,True,True,True
Granulibacter,bethesdensis,4,1413,0,True,True,True
